ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10261,AAS,1010,100,Lecture,"4","Robert Vinson","TuTh 12:30PM - 1:45PM","Minor Hall 125","Introduction to African-American and African Studies I","",Closed,120,120,0
10264,AAS,1010,101,Discussion,"4","Tamika Richeson","Tu 4:00PM - 4:50PM","Mcleod Hall 2005","Introduction to African-American and African Studies I","",Closed,20,20,0
10265,AAS,1010,102,Discussion,"4","Cecilia Marquez","We 5:00PM - 5:50PM","New Cabell Hall 437","Introduction to African-American and African Studies I","",Closed,20,20,0
10262,AAS,1010,103,Discussion,"4","Cecilia Marquez","We 1:00PM - 1:50PM","Clark Hall G054","Introduction to African-American and African Studies I","",Closed,21,20,0
10263,AAS,1010,104,Discussion,"4","Cecilia Marquez","We 2:00PM - 2:50PM","Clark Hall G054","Introduction to African-American and African Studies I","",Closed,20,20,0
10266,AAS,1010,105,Discussion,"4","Tamika Richeson","Th 10:00AM - 10:50AM","New Cabell Hall 438","Introduction to African-American and African Studies I","",Closed,20,20,0
10267,AAS,1010,106,Discussion,"4","Tamika Richeson","Th 11:00AM - 11:50AM","Bryan Hall 235","Introduction to African-American and African Studies I","",Open,19,20,0
21864,AAS,2559,001,Seminar,"3","Lisa Shutt","Mo 2:00PM - 4:30PM","Mcleod Hall 2005","New Course in African and African American Studies","Black Feminity & Masculinitiy",Closed,20,20,0
16137,AAS,2700,001,Lecture,"3","Jalane Schmidt","TuTh 9:30AM - 10:45AM","Gibson 242","Festivals of the Americas","",Closed,9,10,0
19990,AAS,3200,001,Seminar,"3","Mark Hadley","TuTh 9:30AM - 10:45AM","Gibson 341","Martin, Malcolm and America","",Closed,10,10,0
12191,AAS,3500,001,Seminar,"3","Marlon Ross","MoWe 2:00PM - 3:15PM","Clark Hall 101","Intermediate Seminar in African-American & African Studies","Black Protest Narrative",Open,3,10,0
14713,AAS,3500,002,Seminar,"3","Sabrina Pendergrass","TuTh 2:00PM - 3:15PM","New Cabell Hall 415","Intermediate Seminar in African-American & African Studies","SS PerspAf-Amer&AfricanStudies",Open,8,20,0
20896,AAS,3500,003,Seminar,"3","Deborah McDowell","TuTh 2:00PM - 3:15PM","Bryan Hall 328","Intermediate Seminar in African-American & African Studies","Framing Civil Rights Movement",Open,10,15,0
21208,AAS,3500,004,Seminar,"3","Barbara Boswell","TuTh 12:30PM - 1:45PM","Mcleod Hall 2008","Intermediate Seminar in African-American & African Studies","South African Literature",Open,6,13,0
20064,AAS,3559,001,Seminar,"3","Claudrena Harold, Kenrick Grandison","TuTh 3:30PM - 4:45PM","Rouss Hall 410","New Course in African and African American Studies","Heard it on the Radio",Open,47,48,0
14800,AAS,4070,001,Lecture,"3","Claudrena Harold","TBA","TBA","Directed Reading and Research","",Open,2,10,0
20897,AAS,4500,001,Seminar,"3","Kenrick Grandison, Marlon Ross","Mo 6:30PM - 9:00PM","Wilson Hall 141B","Advanced Seminar in African-American and African Studies","Race, Space, Culture",Open,1,6,0
12190,AAS,4570,001,Seminar,"3","Kwame Holmes","We 3:30PM - 6:00PM","New Cabell 543","Advanced Research Seminar in African-American & African Studies","What's Love Got to Do With It",Open,9,10,0
