ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
12524,AAS,2559,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","Monroe Hall 110","New Course in African and African American Studies","Black Feminity & Masculinitiy",Closed,20,18,0
12546,AAS,2559,003,Seminar,"3","Rebecca Keegan","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall 102","New Course in African and African American Studies","Watching Blackness",Open,19,20,0
12344,AAS,3559,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","Brooks Hall 103","New Course in African and African American Studies","Food&Meaning inAfrica&Diaspora",Open,10,18,0
10978,AAS,4993,1,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,1,30,0
12763,AAS,4993,002,Independent Study,"3","Lisa Shutt","TBA","TBA","Independent Study","",Open,2,30,0
12245,ACCT,2010,701,Lecture,"3","Gary Brooks","Mo 6:30PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Open,6,24,0
12246,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 10:00PM","Northern Virginia Center","Introductory Accounting II","",Open,13,24,0
12247,ACCT,3110,701,Lecture,"3","Leon Hutton","Th 6:30PM - 10:00PM","Northern Virginia Center","Intermediate Accounting I","",Closed,13,13,0
12249,ACCT,4450,701,Lecture,"3","Gary Dittmer","Tu 1:25AM - 1:25AM","Web-Based Course-no class mtgs","Federal Taxation I","",Closed,19,19,0
12312,ACCT,5210,701,Lecture,"3","Karen Young","MoTh 6:30PM - 10:00PM","Northern Virginia Center","Introductory Auditing","",Closed,9,9,0
12250,ACCT,5460,701,Lecture,"3","Thomas Hughes","WeFr 6:30PM - 10:00PM","Northern Virginia Center","Federal Taxation II","",Closed,0,0,0
10002,ALAR,5010,001,Lecture,"1","Jana Vandergoot, Matthew Jull","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 305","Introduction to Design","",Open,18,30,0
10003,ALAR,5020,001,Lecture,"1","Jana Vandergoot, Matthew Jull","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 405","Introduction to Design Graphics","",Open,18,30,0
10004,ALAR,5030,001,Lecture,"1","Jana Vandergoot, Matthew Jull","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 139","Introduction to Design Theory and Analysis","",Open,18,30,0
10010,ALAR,5500,001,Independent Study,"3","Karolin Irmgard Elisabeth Moellmann","MoTuWeThFr 12:00AM - 12:00AM","TBA","Special Topic in Architecture and Landscape Architecture","Living Barns:Regen Des.@Morven",Open,0,12,0
12691,AMST,4993,001,Independent Study,"3","Grace Hale","MoTuWeThFr 8:00AM - 8:50AM","Contact Department","Independent Study","",Closed,1,1,0
12085,ANTH,1010,001,Lecture,"3","Allison Alexy","MoTuWeThFr 1:00PM - 3:15PM","Gibson 211","Introduction to Anthropology","",Open,24,30,0
12536,ANTH,2500,001,Lecture,"3","Lydia Rodriguez, Sergio Lopez","MoTuWeThFr 8:00AM - 10:15AM","Maury Hall 113","Cultures, Regions, and Civilizations","The Maya Today",Open,13,20,0
12540,ANTH,2559,001,Lecture,"1 - 4","Rachel Most","TBA","TBA","New Course in Anthropology","Archaeo and Hist of Pueb SW",Open,5,30,0
12537,ANTH,2589,001,Lecture,"3","John Stoetzel","MoTuWeThFr 1:00PM - 3:15PM","Clark Hall G054","Topics in Archaeology","Archaeology of  Human Habitat",Open,8,20,0
12538,ANTH,2590,001,Lecture,"3","Allison Alexy","MoTuWeThFr 1:00PM - 3:15PM","Nau 211","Social and Cultural Anthropology","Gender and Culture",Open,19,20,0
12086,ANTH,2800,001,Lecture,"3","Abigail Holeman","MoTuWeThFr 10:30AM - 12:45PM","Brooks Hall 103","Introduction to Archaeology","",Open,15,20,0
12087,ANTH,3340,001,Lecture,"4","Erik Stanley","MoTuWeThFr 10:30AM - 12:45PM","Minor Hall 130","Ecology and Society: An Introduction to the New Ecological Anthropology","",Open,4,20,0
12539,ANTH,3590,001,Lecture,"3","Arsalan Khan","MoTuWeThFr 10:30AM - 12:45PM","Brooks Hall 103","Social and Cultural Anthropology","Islam & the Colonial Encounter",Open,10,20,0
10791,ANTH,4993,001,Independent Study,"1 - 6","Rachel Most","TBA","TBA","Independent Study in Anthropology","",Open,0,1,0
10697,ANTH,4993,002,Independent Study,"1 - 6","Rachel Most","TBA","TBA","Independent Study in Anthropology","",Open,0,1,0
10951,ANTH,4993,003,Independent Study,"1 - 6","Clare Terni","TBA","TBA","Independent Study in Anthropology","",Open,0,30,0
12659,ANTH,4993,004,Independent Study,"1 - 6","Adria Laviolette","TBA","TBA","Independent Study in Anthropology","",Open,1,30,0
12707,ANTH,4993,005,Independent Study,"1 - 6","Frederick Damon","TBA","TBA","Independent Study in Anthropology","",Open,0,30,0
10775,ANTH,9999,001,Independent Study,"3 - 12","Richard Handler","TBA","TBA","Non-Topical Research","",Open,0,30,0
10988,ANTH,9999,002,Independent Study,"3 - 12","Susan McKinnon","TBA","TBA","Non-Topical Research","",Open,0,30,0
11227,APMA,1090,001,Lecture,"4","William Johnson","MoTuWeThFr 10:30AM - 11:30AM","Chemical Engineering Bldg 005","Single Variable Calculus I","",Open,0,35,0
11655,APMA,1110,001,Lecture,"4","Mary Beck","MoTuWeThFr 11:45AM - 12:45PM","Rice Hall 032","Single Variable Calculus II","",Open,5,28,0
11228,APMA,2120,001,Lecture,"4","Manouchehr Mohajeri","MoTuWeThFr 10:30AM - 11:30AM","Rice Hall 032","Multivariable Calculus","",Open,14,28,0
11229,APMA,2130,001,Lecture,"4","Bernard Fulgham","MoTuWeThFr 9:15AM - 10:15AM","Chemical Engineering Bldg 005","Ordinary Differential Equations","",Open,22,35,0
11230,APMA,3080,001,Lecture,"3","James Lark","MoTuWeThFr 1:00PM - 2:00PM","Chemical Engineering Bldg 005","Linear Algebra","",Open,20,35,0
11231,APMA,3100,001,Lecture,"3","Thomas Baber","MoTuWeThFr 9:15AM - 10:15AM","Thornton Hall D221","Probability","",Open,25,35,0
11232,APMA,3110,001,Lecture,"3","Norman Beil","MoTuWeThFr 11:45AM - 12:45PM","Mechanical Engr Bldg 345","Applied Statistics and Probability","",Open,10,35,0
11233,APMA,3120,001,Lecture,"3","James Lark","MoTuWeThFr 10:30AM - 11:30AM","Thornton Hall E316","Statistics","",Open,8,35,0
10188,ARAB,1016,001,Lecture,"4","Bilal Maanaki, Caren Freeman","MoTuWeThFr 9:00AM - 5:30PM","Nau 342","Intensive Introductory Arabic","",Open,15,20,0
10218,ARAB,1026,001,Lecture,"4","Bilal Maanaki, Caren Freeman","MoTuWeThFr 9:00AM - 5:30PM","Nau 142","Intensive Introductory Arabic","",Open,14,20,0
10693,ARAB,116,001,Lecture,"0","Bilal Maanaki, Caren Freeman","MoTuWeThFr 9:00AM - 5:30PM","Nau 342","Intensive Introductory Arabic","",Open,0,20,0
10694,ARAB,126,001,Lecture,"0","Bilal Maanaki, Caren Freeman","MoTuWeThFr 9:00AM - 5:30PM","Nau 142","Intensive Introductory Arabic","",Open,0,20,0
10274,ARAB,2016,001,Lecture,"4","Ahmad Obiedat, Caren Freeman","MoTuWeThFr 9:00AM - 5:30PM","Nau 142","Intensive Intermediate Arabic","",Open,2,10,0
10217,ARAB,2026,001,Lecture,"4","Ahmad Obiedat, Caren Freeman","MoTuWeThFr 9:00AM - 5:30PM","Nau 342","Intensive Intermediate Arabic","",Open,2,10,0
10695,ARAB,216,001,Lecture,"0","Ahmad Obiedat, Caren Freeman","MoTuWeThFr 9:00AM - 5:30PM","Nau 142","Intensive Intermediate Arabic","",Open,0,10,0
10696,ARAB,226,001,Lecture,"0","Ahmad Obiedat, Caren Freeman","MoTuWeThFr 9:00AM - 5:30PM","Nau 342","Intensive Intermediate Arabic","",Open,0,10,0
12514,ARAH,5753,500,Seminar,"3","Carroll West","MoTuWeThFr 8:45AM - 5:00PM","Central Virginia Center","Southern History and Material Culture","",Open,13,25,0
10897,ARAH,9998,001,Independent Study,"1 - 12","Douglas Fordham","TBA","TBA","Non-Topical Rsch,Doctoral Prep","",Open,0,30,0
10011,ARCH,2011,001,Studio,"6","Erin Putalik","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","Summer Intro to Design Studio","",Open,12,20,0
10012,ARCH,2021,001,Studio,"6","Mara Marcu","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","Summer Intro to Design Studio 1","",Open,12,20,0
10005,ARCH,2040,001,Lecture,"3","Edward Ford","MoTuWeThFr 2:00PM - 6:00PM","Campbell Hall 325","Introduction to Architectural Design","",Open,7,30,0
10008,ARCH,5422,001,Workshop,"3","Earl Mark","MoTuWeThFr 9:30AM - 11:45AM","Campbell Hall 105","Computer Animation: Design in Motion","",Open,8,24,0
10007,ARCH,5993,001,Independent Study,"1 - 6","Staff","TBA","TBA","Independent Study","",Open,0,1,0
10001,ARH,1004,001,Lecture,"3","Jennifer Elliott, Jennifer Grayburn","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 215","History of Architecture","",Open,8,10,0
10877,ARTH,1004,001,Lecture,"3","Jennifer Elliott, Jennifer Grayburn","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 215","A History of Architecture","",Open,1,10,0
12455,ARTH,2054,501,Lecture,"3 - 4","Anna Dibiase","TBA","International Study Program","Etruscan and Roman Art","",Open,0,30,0
10052,ARTS,1610,001,Studio,"3","Akemi Rollando","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 203","Introduction to Drawing I","",Open,16,25,0
