ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10195,AAS,1010,100,Lecture,"4","Roquinaldo Ferreira","TuTh 12:30PM - 1:45PM","Minor Hall 125","Introduction to African-American and African Studies I","",Closed,122,120,0
10201,AAS,1010,101,Discussion,"4","Jon Shoup","Tu 4:00PM - 4:50PM","New Cabell Hall 338","Introduction to African-American and African Studies I","",Closed,23,20,0
10203,AAS,1010,102,Discussion,"4","Z'Etoile Imma","We 5:00PM - 5:50PM","Wilson Hall 140","Introduction to African-American and African Studies I","",Open,16,20,0
10197,AAS,1010,103,Discussion,"4","Z'Etoile Imma","We 1:00PM - 1:50PM","Cauthen House 116","Introduction to African-American and African Studies I","",Closed,23,20,0
10199,AAS,1010,104,Discussion,"4","Z'Etoile Imma","We 2:00PM - 2:50PM","Cauthen House 116","Introduction to African-American and African Studies I","",Closed,19,20,0
10205,AAS,1010,105,Discussion,"4","Jon Shoup","Th 10:00AM - 10:50AM","Fayerweather Hall 215","Introduction to African-American and African Studies I","",Closed,21,20,0
10207,AAS,1010,106,Discussion,"4","Jon Shoup","Th 11:00AM - 11:50AM","Fayerweather Hall 215","Introduction to African-American and African Studies I","",Closed,20,20,0
34581,AAS,2700,1,Lecture,"3","Jalane Schmidt","TuTh 9:30AM - 10:45AM","Mcleod Hall 1004","Festivals of the Americas","",Open,10,20,0
34582,AAS,2700,100,Discussion,"3","Natalie Broadnax","Fr 3:00PM - 3:50PM","New Cabell Hall 330","Festivals of the Americas","",Open,10,20,0
34509,AAS,3157,1,Seminar,"3","Yarimar Bonilla","We 3:30PM - 6:00PM","Monroe Hall 116","Caribbean Perspectives","",Closed,3,3,0
34511,AAS,3200,1,Seminar,"3","Mark Hadley","MoWeFr 12:00PM - 12:50PM","New Cabell Hall 215","Martin, Malcolm and America","",Closed,5,5,0
34510,AAS,3500,1,Seminar,"3","Todne Thomas","TuTh 2:00PM - 3:15PM","New Cabell Hall 234","Intermediate Seminar in African-American & African Studies","Kinfolks in the Afr Diaspora",Open,10,20,0
34520,AAS,3500,2,Seminar,"3","Herbert Lovelace","TuTh 3:30PM - 4:45PM","New Cabell Hall 324","Intermediate Seminar in African-American & African Studies","Race, Law, and War",Open,15,20,0
10213,AAS,4070,1,Independent Study,"3","Cynthia Hoehler-Fatton","TBA","TBA","Directed Reading and Research","",Open,6,10,0
34515,AAS,4500,1,Seminar,"3","Kenrick Grandison, Marlon Ross","Tu 7:00PM - 9:30PM","Bryan Hall 332","Advanced Seminar in African-American and African Studies","Race, Space and Culture",Closed,4,4,0
