ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10264,AAS,1010,100,Lecture,"4","Roquinaldo Ferreira","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies I","",Closed,121,120,0
10267,AAS,1010,101,Discussion,"4","Daren Ray","Tu 4:00PM - 4:50PM","New Cabell Hall 338","Introduction to African-American and African Studies I","",Open,19,20,0
10268,AAS,1010,102,Discussion,"4","Mateusz Liese","We 5:00PM - 5:50PM","New Cabell Hall 320","Introduction to African-American and African Studies I","",Open,19,20,0
10265,AAS,1010,103,Discussion,"4","Daren Ray","We 1:00PM - 1:50PM","New Cabell Hall 330","Introduction to African-American and African Studies I","",Open,19,20,0
10266,AAS,1010,104,Discussion,"4","Mateusz Liese","We 2:00PM - 2:50PM","New Cabell Hall 331","Introduction to African-American and African Studies I","",Closed,20,20,0
10269,AAS,1010,105,Discussion,"4","Daren Ray","Th 10:00AM - 10:50AM","New Cabell Hall 330","Introduction to African-American and African Studies I","",Closed,21,20,0
10270,AAS,1010,106,Discussion,"4","Mateusz Liese","Th 11:00AM - 11:50AM","Maury Hall 113","Introduction to African-American and African Studies I","",Closed,23,20,0
21442,AAS,2559,001,Seminar,"3","Lisa Shutt","Mo 2:00PM - 4:30PM","Dell 1 102","New Course in African and African American Studies","Black Feminity & Masculinitiy",Closed,16,15,0
19787,AAS,2700,001,Lecture,"3","Jalane Schmidt","TuTh 9:30AM - 10:45AM","Gibson 211","Festivals of the Americas","",Open,10,20,0
21938,AAS,2700,101,Discussion,"3","Guy Aiken","Fr 10:00AM - 10:50AM","Cauthen House 134","Festivals of the Americas","",Open,4,7,0
21939,AAS,2700,102,Discussion,"3","Guy Aiken","Fr 11:00AM - 11:50AM","Cauthen House 134","Festivals of the Americas","",Open,2,7,0
21940,AAS,2700,103,Discussion,"3","Guy Aiken","Fr 12:00PM - 12:50PM","Cauthen House 134","Festivals of the Americas","",Open,4,6,0
19788,AAS,3280,001,Lecture,"3","Kenrick Grandison","Tu 6:30PM - 9:00PM","New Cabell Hall 542","Reading the Black College Campus","",Open,8,10,0
15007,AAS,3456,001,Seminar,"3","Joseph Hylton","MoWe 4:00PM - 5:15PM","Wilson Hall 215","The Supreme Court and the Civil Rights Movement","",Open,12,20,0
12459,AAS,3500,001,Seminar,"3","Ivar Hultin","TuTh 11:00AM - 12:15PM","New Cabell Hall 320","Intermediate Seminar in African-American & African Studies","Developmnt & Culture in Africa",Closed,10,10,0
15520,AAS,3500,002,Seminar,"3","Claudrena Harold","TuTh 2:00PM - 3:15PM","Chemistry Bldg 304","Intermediate Seminar in African-American & African Studies","Black Fire: Af Am Expression",Closed,65,60,0
21455,AAS,3500,003,Seminar,"3","Barbara Boswell","TuTh 9:30AM - 10:45AM","Maury Hall 113","Intermediate Seminar in African-American & African Studies","Women Writing Africa",Open,8,15,0
19789,AAS,3559,001,Seminar,"3","Pamela Reynolds","Tu 3:30PM - 6:00PM","Wilson Hall 141A","New Course in African and African American Studies","Af-American Health Professnals",Open,5,18,0
20520,AAS,3652,001,Seminar,"3","Claudrena Harold","TuTh 11:00AM - 12:15PM","Nau 211","African American History since 1865","",Closed,20,20,0
15689,AAS,4070,001,Lecture,"3","Claudrena Harold","TBA","TBA","Directed Reading and Research","",Open,5,10,0
12521,AAS,4500,001,Seminar,"3","Lisa Woolfork","TuTh 11:00AM - 12:15PM","Gibson 342","Advanced Seminar in African-American and African Studies","Fictions of Black Identity",Open,6,9,0
19849,AAS,4500,002,Seminar,"3","Kenrick Grandison","Th 6:30PM - 9:00PM","New Cabell Hall 542","Advanced Seminar in African-American and African Studies","Race in American Places",Open,3,9,0
12458,AAS,4570,001,Seminar,"3","Dennis Tyler","Th 3:30PM - 6:00PM","Bryan Hall 332","Advanced Research Seminar in African-American & African Studies","Oprah's Book Club",Open,7,15,0
15009,AAS,4570,002,Seminar,"3","Barbara Boswell","Mo 3:30PM - 6:00PM","Wilson Hall 141B","Advanced Research Seminar in African-American & African Studies","The Black Body in Translation",Open,3,12,0
15008,AAS,4993,002,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,0,5,0
20944,ACCT,2010,701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Closed,12,12,0
20945,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:45PM","Northern Virginia Center","Introductory Accounting II","",Closed,4,4,0
21235,ACCT,3110,501,Lecture,"3","Rebecca Adams","Th 6:00PM - 9:00PM","Zehmer Hall 00B","Intermediate Accounting I","",Open,4,20,0
20946,ACCT,3110,701,Lecture,"3","Leon Hutton","Sa 9:00AM - 12:30PM","Northern Virginia Center","Intermediate Accounting I","",Open,12,13,0
20947,ACCT,3120,701,Lecture,"3","Margaret Johnson","We 6:30PM - 9:45PM","Northern Virginia Center","Intermediate Accounting II","",Closed,12,12,0
21233,ACCT,3140,501,Lecture,"3","John Hulburt","Tu 6:00PM - 9:00PM","Zehmer Hall 00B","Cost Accounting","",Open,4,20,0
20948,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 10:00PM","Northern Virginia Center","Cost Accounting","",Open,9,10,0
20950,ACCT,4450,701,Lecture,"3","Thomas Hughes","Fr 6:30PM - 9:45PM","Northern Virginia Center","Federal Taxation I","",Closed,14,14,0
20952,ACCT,5210,701,Lecture,"3","Karen Young","Tu 6:30PM - 9:45PM","Northern Virginia Center","Introductory Auditing","",Closed,9,9,0
20953,ACCT,5310,701,Lecture,"3","Gary Brooks","Mo 6:30PM - 9:45PM","Northern Virginia Center","Selected Topics in Advanced Accounting","",Closed,18,18,0
20954,ACCT,5330,701,Lecture,"3","Richard Evans","Th 6:30PM - 9:00PM","Northern Virginia Center","Accounting for Non-Business Organizations","",Closed,12,12,0
20955,ACCT,5460,701,Lecture,"3","Gary Dittmer","Tu 1:04AM - 1:04AM","Web-Based Course-no class mtgs","Federal Taxation II","",Closed,8,8,0
19346,AIRS,100,001,Laboratory,"0","Jared Hoover","Tu 3:30PM - 5:30PM","Physics Bldg 203","Leadership Laboratory","",Open,35,219,0
19347,AIRS,101,001,Drill,"0","Staff","TuTh 7:00AM - 7:50AM","Contact Department","AFROTC Physical Training","",Open,2,30,0
19340,AIRS,1100,001,Lecture,"1","Jon Wolfe","Tu 1:00PM - 1:50PM","Chemistry Bldg 304","The Foundations of the U.S. Air Force","",Open,5,15,0
19341,AIRS,1100,002,Lecture,"1","Jon Wolfe","Th 2:00PM - 2:50PM","Contact Department","The Foundations of the U.S. Air Force","",Open,7,15,0
19342,AIRS,2100,001,Lecture,"1","James Fulks","Tu 2:00PM - 2:50PM","Maury Hall 104","The Evolution of Air and Space Power","",Open,2,15,0
19343,AIRS,2100,002,Lecture,"1","James Fulks","Th 3:00PM - 3:50PM","Contact Department","The Evolution of Air and Space Power","",Closed,15,15,0
19344,AIRS,3100,001,Lecture,"3","Jon Wolfe","Tu 12:30PM - 1:45PM","New Cabell Hall 345","Concepts of Air Force Leadership and Management","",Open,8,22,0
19345,AIRS,4100,001,Lecture,"3","Jon Wolfe","Tu 12:30PM - 1:45PM","Contact Department","National Security Affairs/Preparation for Active Duty","",Open,12,20,0
10071,ALAR,6710,001,Lecture,"2","Robin Dripps","Th 3:30PM - 6:00PM","Campbell Hall 135","Studio Workshop","",Open,28,40,0
10003,ALAR,8100,001,Seminar,"3","Craig Barton","We 12:00PM - 2:30PM","Campbell Hall 325","Design Research Seminar","",Open,24,25,0
10234,ALAR,8995,001,Studio,"6","Staff","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Independent Design Research Studio","",Open,0,15,0
22101,ALAR,8995,002,Studio,"6","Phoebe Crisman","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Independent Design Research Studio","",Open,0,1,0
20431,AM,6020,001,Lecture,"3","Richard Kent","MoWe 2:00PM - 3:15PM","Mechanical Engr Bldg 339","Continuum Mechanics With Applications","",Open,5,10,0
12477,AMST,2001,001,Lecture,"3","Jennifer Greeson, Sylvia Chong","TuTh 12:30PM - 1:45PM","Maury Hall 104","Formations of American Cultural Studies","",Open,56,60,0
11887,AMST,2500,001,Lecture,"3","Ashley Williams","MoWe 3:30PM - 4:45PM","Bryan Hall 328","Major Works for American Studies","Language in the US",Closed,25,25,0
15568,AMST,2500,002,Lecture,"3","Lisa Goff","MoWe 2:00PM - 3:15PM","Bryan Hall 328","Major Works for American Studies","Cultural Landscapes of  the US",Open,21,24,0
