ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10327,AAS,1010,100,Lecture,"4","Staff","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies I","",Wait List,119,120,21
10330,AAS,1010,101,Discussion,"4","Staff","Th 6:00PM - 6:50PM","New Cabell Hall 056","Introduction to African-American and African Studies I","",Wait List,20,20,2
10331,AAS,1010,102,Discussion,"4","Staff","We 5:00PM - 5:50PM","New Cabell Hall 209","Introduction to African-American and African Studies I","",Wait List,20,20,10
10328,AAS,1010,103,Discussion,"4","Staff","Th 7:00PM - 7:50PM","New Cabell Hall 056","Introduction to African-American and African Studies I","",Wait List,20,20,1
10329,AAS,1010,104,Discussion,"4","Staff","Th 8:00PM - 8:50PM","New Cabell Hall 056","Introduction to African-American and African Studies I","",Wait List,19,20,1
10332,AAS,1010,105,Discussion,"4","Staff","We 6:00PM - 6:50PM","New Cabell Hall 209","Introduction to African-American and African Studies I","",Wait List,20,20,5
10333,AAS,1010,106,Discussion,"4","Staff","We 7:00PM - 7:50PM","New Cabell Hall 209","Introduction to African-American and African Studies I","",Wait List,20,20,3
19325,AAS,2559,001,Seminar,"3","Njelle Hamilton","Tu 5:00PM - 7:30PM","New Cabell Hall 209","New Course in African and African American Studies","Routes, Writing, Reggae",Open,8,18,0
19326,AAS,2559,002,Seminar,"3","Maurice Wallace","TuTh 2:00PM - 3:15PM","Physics Bldg 204","New Course in African and African American Studies","The Films of Spike Lee",Open,64,75,0
20173,AAS,2559,300,Seminar,"1 - 4","Jalane Schmidt","TuTh 9:30AM - 10:45AM","Gibson Hall 211","New Course in African and African American Studies","Afro-Creole Religions",Open,3,20,0
20175,AAS,2559,301,Discussion,"1 - 4","Staff","Th 5:00PM - 5:50PM","Cocke Hall 101","New Course in African and African American Studies","Afro-Creole Religions",Open,1,7,0
20176,AAS,2559,302,Discussion,"1 - 4","Staff","Th 6:00PM - 6:50PM","Cocke Hall 101","New Course in African and African American Studies","Afro-Creole Religions",Open,1,7,0
20177,AAS,2559,303,Discussion,"1 - 4","Staff","Th 7:00PM - 7:50PM","Cocke Hall 101","New Course in African and African American Studies","",Open,1,6,0
14480,AAS,3200,001,Seminar,"3","Mark Hadley","TuTh 9:30AM - 10:45AM","Nau Hall 241","Martin, Malcolm and America","",Wait List,12,12,9
15738,AAS,3500,002,Seminar,"3","Lisa Shutt","We 3:30PM - 6:00PM","New Cabell Hall 027","Intermediate Seminar in African-American & African Studies","African Worlds in Biography",Open,5,24,0
19279,AAS,3559,001,Seminar,"3","Andrew Kahrl","MoWe 2:00PM - 3:15PM","Nau Hall 242","New Course in African and African American Studies","Race and Real Estate",Wait List,12,12,3
18753,AAS,3652,001,Seminar,"3","Andrew Kahrl","MoWeFr 10:00AM - 10:50AM","Nau Hall 141","African American History since 1865","",Wait List,15,15,0
13433,AAS,4070,001,Lecture,"3","Claudrena Harold","TBA","TBA","Directed Reading and Research","",Open,0,10,0
20174,AAS,4570,001,Seminar,"3","Lisa Woolfork","TuTh 9:30AM - 10:45AM","Nau Hall 142","Advanced Research Seminar in African-American & African Studies","Time and African American Lit",Open,1,6,0
11736,AAS,4570,002,Seminar,"3","Lisa Shutt","Mo 3:30PM - 6:00PM","New Cabell Hall 115","Advanced Research Seminar in African-American & African Studies","Africa in the US Media",Wait List,12,12,3
13243,AAS,4993,001,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","Independent Study","",Open,0,2,0
16035,AAS,4993,002,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","Independent Study","",Open,0,2,0
19323,AAS,4993,003,Independent Study,"1 - 12","Claudrena Harold","TBA","TBA","Independent Study","",Open,0,2,0
18489,AIRS,100,001,Laboratory,"0","Nina Rourke","Tu 3:30PM - 5:30PM","TBA","Leadership Laboratory","",Open,35,219,0
18490,AIRS,100,002,Laboratory,"0","Nina Rourke","Sa 11:00AM - 1:00PM","TBA","Leadership Laboratory","",Open,1,30,0
18484,AIRS,1100,001,Lecture,"1","Nina Rourke","Tu 1:00PM - 1:50PM","TBA","The Foundations of the U.S. Air Force","",Open,0,50,0
18485,AIRS,1100,002,Lecture,"1","Nina Rourke","Th 2:00PM - 2:50PM","Shannon House 107","The Foundations of the U.S. Air Force","",Open,2,20,0
18486,AIRS,2100,001,Lecture,"1","Nina Rourke","Tu 2:00PM - 2:50PM","TBA","The Evolution of Air and Space Power","",Open,3,49,0
18487,AIRS,2100,002,Lecture,"1","Nina Rourke","Th 3:00PM - 3:50PM","Shannon House 109","The Evolution of Air and Space Power","",Open,8,20,0
18491,AIRS,3100,001,Lecture,"3","Jennifer Hubal","Tu 12:30PM - 1:45PM","TBA","Concepts of Air Force Leadership and Management","",Open,2,25,0
18492,AIRS,3100,002,Lecture,"3","Jennifer Hubal","We 12:30PM - 1:45PM","Astronomy Bldg 265","Concepts of Air Force Leadership and Management","",Open,6,25,0
18488,AIRS,4100,001,Lecture,"3","Steven Hiss","Tu 12:30PM - 1:45PM","Shannon House 109","National Security Affairs/Preparation for Active Duty","",Open,6,20,0
10148,ALAR,7010,001,Studio,"6","Shiqiao Li","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Research Studio 1","",Open,0,15,0
10164,ALAR,7010,002,Studio,"6","Peter Waldman","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Research Studio 1","",Open,1,10,0
