ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10453,AAS,1010,100,Lecture,"4","Roquinaldo Ferreira","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies I","",Closed,122,120,0
10459,AAS,1010,101,Discussion,"4","Mary Hicks","Tu 4:00PM - 4:50PM","New Cabell Hall 134","Introduction to African-American and African Studies I","",Closed,21,20,0
10461,AAS,1010,102,Discussion,"4","Alec Hickmott","We 5:00PM - 5:50PM","New Cabell Hall B029","Introduction to African-American and African Studies I","",Open,18,20,0
10455,AAS,1010,103,Discussion,"4","Mary Hicks","We 1:00PM - 1:50PM","New Cabell Hall 139","Introduction to African-American and African Studies I","",Open,19,20,0
10457,AAS,1010,104,Discussion,"4","Mary Hicks","We 2:00PM - 2:50PM","New Cabell Hall 335","Introduction to African-American and African Studies I","",Closed,21,20,0
10463,AAS,1010,105,Discussion,"4","Alec Hickmott","Th 10:00AM - 10:50AM","New Cabell Hall 139","Introduction to African-American and African Studies I","",Closed,22,20,0
10465,AAS,1010,106,Discussion,"4","Alec Hickmott","Th 11:00AM - 11:50AM","New Cabell Hall B021","Introduction to African-American and African Studies I","",Closed,21,20,0
15973,AAS,3157,001,Seminar,"3","Yarimar Bonilla","We 3:30PM - 6:00PM","Monroe Hall 124","Caribbean Perspectives","",Open,5,6,0
15977,AAS,3200,001,Seminar,"3","Mark Hadley","MoWeFr 2:00PM - 2:50PM","Wilson Hall 215","Martin, Malcolm and America","",Closed,15,10,0
26081,AAS,3456,001,Seminar,"3","Joseph Hylton","TuTh 2:00PM - 3:15PM","New Cabell Hall 319","The Supreme Court and the Civil Rights Movement","",Closed,22,20,0
15993,AAS,3500,001,Seminar,"3","Felistas Osotsi","TuTh 3:30PM - 4:45PM","Wilson Hall 215","Intermediate Seminar in African-American & African Studies","African Peoples and Cultures",Open,18,20,0
26795,AAS,3500,002,Seminar,"3","Claudrena Harold","TuTh 9:30AM - 10:45AM","Mcleod Hall 2014","Intermediate Seminar in African-American & African Studies","From Motown to Hip-Hop",Closed,69,49,0
27176,AAS,4070,001,Lecture,"3","Cynthia Hoehler-Fatton","TBA","TBA","Directed Reading and Research","",Open,2,10,0
16219,AAS,4500,001,Seminar,"3","Lisa Woolfork","TuTh 11:00AM - 12:15PM","Nau 141","Advanced Seminar in African-American and African Studies","Fictions of Black Identity",Closed,5,5,0
15989,AAS,4570,001,Seminar,"3","Cassie Hays","Tu 3:30PM - 6:00PM","New Cabell Hall 319","Advanced Research Seminar in African-American & African Studies","Violence, Genocide, and Africa",Open,9,15,0
26083,AAS,4570,002,Seminar,"3","Dennis Tyler","Th 3:30PM - 6:00PM","Monroe Hall 113","Advanced Research Seminar in African-American & African Studies","Race, Madness and Violence",Open,4,12,0
10467,AAS,4993,001,Independent Study,"3","Cynthia Hoehler-Fatton","TBA","TBA","Independent Study","",Open,1,10,0
26082,AAS,4993,002,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,2,5,0
29260,AAS,4993,003,Independent Study,"3","Kandioura Dramé","TBA","TBA","Independent Study","",Open,1,10,0
28661,AAS,5559,001,Lecture,"1 - 4","Staff","TBA","TBA","New Course in African and African American Studies","",Open,0,15,0
27154,ACCT,2010,701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Open,11,24,0
27773,ACCT,3110,501,Lecture,"3","Rebecca Adams","Tu 6:15PM - 9:15PM","Zehmer Hall 00B","Intermediate Accounting I","",Open,11,20,0
27156,ACCT,3110,701,Lecture,"3","Leon Hutton","Th 6:30PM - 10:00PM","Northern Virginia Center","Intermediate Accounting I","",Open,19,24,0
27157,ACCT,3120,701,Lecture,"3","Margaret Johnson","We 6:30PM - 9:45PM","Northern Virginia Center","Intermediate Accounting II","",Open,23,24,0
27793,ACCT,3140,501,Lecture,"3","Robert Beachy","Th 6:00PM - 9:00PM","Zehmer Hall 00C","Cost Accounting","",Open,5,20,0
27158,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:45PM","Northern Virginia Center","Cost Accounting","",Open,17,24,0
27483,ACCT,4450,701,Lecture,"3","Thomas Hughes","Fr 6:30PM - 9:45PM","Northern Virginia Center","Federal Taxation I","",Open,13,24,0
27485,ACCT,5210,701,Lecture,"3","Karen Young","Tu 6:30PM - 9:45PM","Northern Virginia Center","Introductory Auditing","",Open,11,24,0
27161,ACCT,5330,701,Lecture,"3","Richard Evans","Th 6:30PM - 9:45PM","Northern Virginia Center","Accounting for Non-Business Organizations","",Open,17,24,0
27163,ACCT,5460,701,Lecture,"3","Gary Dittmer","Tu 1:00AM - 1:00AM","Web-Based Course-no class mtgs","Federal Taxation II","",Open,15,24,0
28667,AIRS,100,001,Laboratory,"0","Staff","Tu 3:30PM - 5:30PM","Physics Bldg 203","Leadership Laboratory","",Open,34,219,0
28668,AIRS,101,001,Drill,"0","Staff","TuTh 8:00AM - 8:50AM","TBA","AFROTC Physical Training","",Open,1,30,0
23567,AIRS,1100,001,Lecture,"1","Jared Hoover","Tu 1:00PM - 1:50PM","Contact Department","The Foundations of the U.S. Air Force","",Open,6,15,0
23569,AIRS,1100,002,Lecture,"1","Jared Hoover","Th 2:00PM - 2:50PM","Contact Department","The Foundations of the U.S. Air Force","",Closed,20,15,0
23573,AIRS,2100,001,Lecture,"1","James Fulks","Tu 12:30PM - 1:50PM","Astronomy Bldg 265","The Evolution of Air and Space Power","",Open,2,15,0
23575,AIRS,2100,002,Lecture,"1","James Fulks","Th 3:00PM - 3:15PM","Contact Department","The Evolution of Air and Space Power","",Open,11,15,0
23579,AIRS,3100,001,Lecture,"3","Kevin Plourde","Tu 12:30PM - 1:45PM","Cauthen House 134","Concepts of Air Force Leadership and Management","",Open,14,22,0
23581,AIRS,4100,001,Lecture,"3","Jon Wolfe","Tu 12:30PM - 1:45PM","Robertson Hall 221","National Security Affairs/Preparation for Active Duty","",Open,11,20,0
29418,AIRS,4100,002,Lecture,"3","James Fulks","Fr 2:30PM - 5:15PM","Contact Department","National Security Affairs/Preparation for Active Duty","",Open,3,30,0
10157,ALAR,6710,1,Lecture,"2","Robin Dripps","Th 3:30PM - 6:00PM","Campbell Hall 325","Studio Workshop","",Open,11,28,0
10001,ALAR,8100,1,Seminar,"3","Craig Barton","We 12:00PM - 2:00PM","Campbell Hall 325","Design Research Seminar","",Closed,28,20,0
28754,ALAR,8995,1,Studio,"6","Jorg Sieweke, William Sherman","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Independent Design Research Studio","",Closed,1,1,0
29117,ALAR,8995,2,Studio,"6","Elizabeth Meyer","MoWeFr 2:00PM - 5:45PM","TBA","Independent Design Research Studio","",Closed,2,2,0
27068,AM,6020,001,Lecture,"3","Cornelius Horgan","MoWe 6:30PM - 7:45PM","Thornton Hall A119","Continuum Mechanics With Applications","",Open,1,5,0
16091,AMST,2001,001,Lecture,"3","Daniel Chavez, Sylvia Chong","TuTh 12:30PM - 1:45PM","Maury Hall 104","Formations of American Cultural Studies","",Closed,60,60,0
14105,AMST,2500,001,Lecture,"3","Ashley Williams","MoWe 3:30PM - 4:45PM","Nau 342","Major Works for American Studies","Language in the US",Open,23,25,0
26867,AMST,2500,002,Lecture,"3","Lisa Goff","MoWe 2:00PM - 3:15PM","New Cabell Hall 118","Major Works for American Studies","Cultural Landscapes of  the US",Open,22,24,0
14107,AMST,3001,001,Seminar,"3","Anna Brickhouse","TuTh 9:30AM - 10:45AM","Bryan Hall 334","Theories and Methods of American Studies","",Open,11,15,0
26868,AMST,3001,002,Seminar,"3","Sandhya Shukla","TuTh 11:00AM - 12:15PM","Brooks Hall 103","Theories and Methods of American Studies","",Open,11,15,0
27142,AMST,3180,001,Lecture,"3","Sylvia Chong","TuTh 2:00PM - 3:15PM","Monroe Hall 110","Introduction to Asian American Studies","",Open,17,20,0
26966,AMST,3559,001,Lecture,"3","Sandhya Shukla","TuTh 9:30AM - 10:45AM","New Cabell Hall 245","New Course in American Studies","Modern Harlem culture",Open,4,10,0
10469,AMST,4500,001,Seminar,"3","Matthew Hedstrom","Mo 3:30PM - 6:00PM","New Cabell Hall 139","Fourth-Year Seminar in American Studies","Visions Apocolypse Amer Cultur",Closed,17,10,0
16349,AMST,4893,001,Independent Study,"3","Sylvia Chong","TBA","TBA","Independent Study in Asian Pacific American Studies","",Open,0,15,0
10473,AMST,4993,001,Independent Study,"3","Anna Brickhouse","TBA","TBA","Independent Study","",Open,0,20,0
27303,AMST,4993,002,Independent Study,"3","Daniel Chavez","TBA","TBA","Independent Study","",Open,1,30,0
27304,AMST,4993,003,Independent Study,"3","Sylvia Chong","TBA","TBA","Independent Study","",Open,2,30,0
27305,AMST,4993,004,Independent Study,"3","Jennifer Greeson","TBA","TBA","Independent Study","",Open,0,30,0
27306,AMST,4993,005,Independent Study,"3","Grace Hale","TBA","TBA","Independent Study","",Open,0,30,0
27307,AMST,4993,006,Independent Study,"3","Matthew Hedstrom","TBA","TBA","Independent Study","",Open,0,30,0
27308,AMST,4993,007,Independent Study,"3","Carmenita Higginbotham","TBA","TBA","Independent Study","",Open,0,30,0
27309,AMST,4993,008,Independent Study,"3","Ruth Hill","TBA","TBA","Independent Study","",Open,1,30,0
27310,AMST,4993,009,Independent Study,"3","Eric Lott","TBA","TBA","Independent Study","",Open,2,30,0
27311,AMST,4993,010,Independent Study,"3","Maurie McInnis","TBA","TBA","Independent Study","",Open,0,30,0
27312,AMST,4993,011,Independent Study,"3","Christian McMillen","TBA","TBA","Independent Study","",Open,0,30,0
27313,AMST,4993,012,Independent Study,"3","Sandhya Shukla","TBA","TBA","Independent Study","",Open,1,30,0
10475,ANTH,1010,001,Lecture,"3","M. Menair","TuTh 9:30AM - 10:45AM","New Cabell Hall 345","Introduction to Anthropology","",Closed,61,60,0
26273,ANTH,1010,002,Lecture,"3","David Strohl","MoWeFr 11:00AM - 11:50AM","New Cabell Hall 345","Introduction to Anthropology","",Closed,59,60,0
16155,ANTH,2190,100,Lecture,"3","George Mentore","TuTh 11:00AM - 12:15PM","New Cabell Hall 311","Desire and World Economics","",Open,59,60,0
10477,ANTH,2230,001,Lecture,"3","Roy Wagner","TuTh 9:30AM - 10:45AM","Physics Bldg 204","Fantasy and Social Values","",Closed,119,120,0
26274,ANTH,2280,001,Lecture,"3","Amy Nichols-Belo","TuTh 12:30PM - 1:45PM","New Cabell Hall 215","Medical Anthropology","",Closed,35,30,0
26275,ANTH,2310,001,Lecture,"3","Melissa Nelson","TuTh 3:30PM - 4:45PM","New Cabell Hall 119","Symbol and Ritual","",Open,34,35,0
15209,ANTH,2320,100,Lecture,"3","Peter Metcalf","MoWe 11:00AM - 11:50AM","Physics Bldg 204","Anthropology of Religion","",Closed,120,120,0
15215,ANTH,2320,101,Discussion,"3","Katharine Blumenthal","Th 2:00PM - 2:50PM","New Cabell Hall B026","Anthropology of Religion","",Closed,20,20,0
15217,ANTH,2320,102,Discussion,"3","Lucas de Carvalho","Th 3:30PM - 4:20PM","New Cabell Hall 215","Anthropology of Religion","",Closed,20,20,0
15219,ANTH,2320,103,Discussion,"3","Lucas de Carvalho","Fr 12:00PM - 12:50PM","Physics Bldg 210","Anthropology of Religion","",Closed,19,20,0
15221,ANTH,2320,104,Discussion,"3","Katharine Blumenthal","Fr 9:00AM - 9:50AM","New Cabell Hall 245","Anthropology of Religion","",Closed,21,20,0
15223,ANTH,2320,105,Discussion,"3","Lucas de Carvalho","Th 2:00PM - 2:50PM","Ruffner Hall 281","Anthropology of Religion","",Closed,20,20,0
15225,ANTH,2320,106,Discussion,"3","Katharine Blumenthal","Fr 10:00AM - 10:50AM","New Cabell Hall 337","Anthropology of Religion","",Closed,20,20,0
26771,ANTH,2340,001,Lecture,"3","Ravindra Khare","We 3:30PM - 6:00PM","New Cabell Hall B030","Anthropology of Birth and Death","",Closed,29,30,0
16681,ANTH,2400,001,Lecture,"3","Lydia Rodriguez","MoWeFr 9:00AM - 9:50AM","Gibson 211","Language and Culture","",Closed,61,60,0
26276,ANTH,2420,100,Lecture,"3","Ellen Contini-Morava","MoWe 11:00AM - 11:50AM","Ruffner Hall G004A","Language and Gender","",Open,117,120,0
26277,ANTH,2420,101,Discussion,"3","Ann Githinji","Th 4:00PM - 4:50PM","New Cabell Hall 241","Language and Gender","",Closed,21,20,0
26278,ANTH,2420,102,Discussion,"3","Ann Githinji","Th 5:00PM - 5:50PM","New Cabell Hall B026","Language and Gender","",Closed,21,20,0
26279,ANTH,2420,103,Discussion,"3","Ann Githinji","Th 6:00PM - 6:50PM","New Cabell Hall 139","Language and Gender","",Closed,20,20,0
26280,ANTH,2420,104,Discussion,"3","Nathan Hedges","Fr 8:00AM - 8:50AM","New Cabell Hall 139","Language and Gender","",Open,18,20,0
26281,ANTH,2420,105,Discussion,"3","Nathan Hedges","Fr 9:00AM - 9:50AM","New Cabell Hall 216","Language and Gender","",Open,19,20,0
26282,ANTH,2420,106,Discussion,"3","Nathan Hedges","Fr 12:00PM - 12:50PM","Ruffner Hall 187","Language and Gender","",Open,18,20,0
10479,ANTH,2800,100,Lecture,"3","Adria Laviolette","MoWe 2:00PM - 2:50PM","Wilson Hall 301","Introduction to Archaeology","",Open,164,180,0
10481,ANTH,2800,101,Discussion,"3","Erika Brant","Th 6:00PM - 6:50PM","New Cabell Hall B020","Introduction to Archaeology","",Closed,20,20,0
10483,ANTH,2800,102,Discussion,"3","Elizabeth Hart","Th 3:30PM - 4:20PM","New Cabell Hall 320","Introduction to Archaeology","",Open,19,20,0
10485,ANTH,2800,103,Discussion,"3","Erika Brant","Th 5:00PM - 5:50PM","New Cabell Hall B021","Introduction to Archaeology","",Open,19,20,0
10487,ANTH,2800,104,Discussion,"3","Elizabeth Hart","Th 12:30PM - 1:20PM","New Cabell Hall B020","Introduction to Archaeology","",Open,19,20,0
10489,ANTH,2800,105,Discussion,"3","Panayiota Agrotou-Jraige","Th 11:00AM - 11:50AM","Pavilion VIII 108","Introduction to Archaeology","",Closed,20,20,0
10491,ANTH,2800,106,Discussion,"3","Elizabeth Hart","Fr 3:00PM - 3:50PM","New Cabell Hall 236","Introduction to Archaeology","",Open,10,20,0
28670,ANTH,2800,107,Discussion,"3","Panayiota Agrotou-Jraige","Fr 1:00PM - 1:50PM","Chemistry Bldg 262","Introduction to Archaeology","",Open,18,20,0
28671,ANTH,2800,108,Discussion,"3","Panayiota Agrotou-Jraige","Fr 2:00PM - 2:50PM","Chemistry Bldg 262","Introduction to Archaeology","",Closed,20,20,0
28672,ANTH,2800,109,Discussion,"3","Erika Brant","We 6:00PM - 6:50PM","New Cabell Hall 330","Introduction to Archaeology","",Open,19,20,0
26284,ANTH,2810,100,Lecture,"3","Jeffrey Hantman","TuTh 2:00PM - 3:15PM","Wilson Hall 301","Human Origins","",Closed,125,120,0
27330,ANTH,2810,101,Discussion,"3","John Stoetzel","Fr 9:00AM - 9:50AM","Mcleod Hall 2007","Human Origins","",Open,19,20,0
27331,ANTH,2810,102,Discussion,"3","John Stoetzel","Fr 10:00AM - 10:50AM","Chemistry Bldg 262","Human Origins","",Closed,20,20,0
27332,ANTH,2810,103,Discussion,"3","Staff","Fr 11:00AM - 11:50AM","Mcleod Hall 2006","Human Origins","",Closed,21,20,0
27333,ANTH,2810,104,Discussion,"3","John Stoetzel","Mo 9:00AM - 9:50AM","Mcleod Hall 2007","Human Origins","",Closed,21,20,0
27334,ANTH,2810,105,Discussion,"3","Staff","Mo 10:00AM - 10:50AM","Mcleod Hall 2007","Human Origins","",Closed,21,20,0
27335,ANTH,2810,106,Discussion,"3","Staff","Mo 11:00AM - 11:50AM","Mcleod Hall 2006","Human Origins","",Closed,23,20,0
26283,ANTH,2820,001,Lecture,"3","Phillip Trella","MoWeFr 10:00AM - 10:50AM","Monroe Hall 118","The Emergence of States and Cities","",Closed,35,35,0
10493,ANTH,3010,100,Lecture,"4","Prista Ratanapruck","TuTh 11:00AM - 12:15PM","Monroe Hall 116","Theory and History of Anthropology","",Closed,45,45,0
10499,ANTH,3010,101,Discussion,"4","Julie Starr","Fr 9:00AM - 9:50AM","New Cabell Hall 338","Theory and History of Anthropology","",Open,13,20,0
10497,ANTH,3010,102,Discussion,"4","Julie Starr","Fr 10:00AM - 10:50AM","New Cabell Hall B030","Theory and History of Anthropology","",Open,12,20,0
10495,ANTH,3010,103,Discussion,"4","Julie Starr","Th 4:00PM - 4:50PM","New Cabell Hall 224","Theory and History of Anthropology","",Closed,20,20,0
10511,ANTH,3152,001,Lecture,"4","George Mentore","TuTh 3:30PM - 4:45PM","Rouss Hall 410","Amazonian Peoples","",Open,28,30,0
10513,ANTH,3155,100,Lecture,"4","Frederick Damon","MoWeFr 10:00AM - 10:50AM","New Cabell Hall 345","Anthropology of Everyday American Life","",Open,44,60,0
26588,ANTH,3155,101,Discussion,"4","Viktoryia Kalesnikava","Th 4:00PM - 4:50PM","New Cabell Hall 245","Anthropology of Everyday American Life","",Open,15,20,0
26589,ANTH,3155,102,Discussion,"4","Viktoryia Kalesnikava","Fr 9:00AM - 9:50AM","New Cabell Hall B029","Anthropology of Everyday American Life","",Open,14,20,0
26590,ANTH,3155,103,Discussion,"4","Viktoryia Kalesnikava","Th 3:00PM - 3:50PM","New Cabell Hall 245","Anthropology of Everyday American Life","",Open,15,20,0
14109,ANTH,3157,001,Lecture,"3","Yarimar Bonilla","We 3:30PM - 6:00PM","Monroe Hall 124","Caribbean Perspectives","",Open,45,60,0
26285,ANTH,3260,001,Lecture,"3","Clare Terni","MoWeFr 9:00AM - 9:50AM","New Cabell Hall 311","Globalization and Development","",Closed,60,60,0
10501,ANTH,3320,001,Lecture,"3","Edith Turner","TuTh 2:00PM - 3:15PM","Wilson Hall 215","Shamanism, Healing, and Ritual","",Closed,26,25,0
15207,ANTH,3450,001,Lecture,"3","Eve Danziger","TuTh 2:00PM - 3:15PM","Brooks Hall 103","Native American Languages","",Open,9,15,0
26286,ANTH,3480,100,Lecture,"3","Eve Danziger","TuTh 9:30AM - 10:45AM","Ruffner Hall G004B","Language and Prehistory","",Open,43,60,0
29191,ANTH,3480,101,Discussion,"3","Sean Gleason","Mo 4:00PM - 4:50PM","Mcleod Hall 2006","Language and Prehistory","",Closed,20,20,0
29192,ANTH,3480,102,Discussion,"3","Sean Gleason","Mo 5:00PM - 5:50PM","Mcleod Hall 2006","Language and Prehistory","",Open,11,20,0
29193,ANTH,3480,103,Discussion,"3","Sean Gleason","Mo 6:00PM - 6:50PM","Mcleod Hall 2006","Language and Prehistory","",Open,10,20,0
15249,ANTH,3550,001,Lecture,"3","Peter Metcalf","MoWe 3:30PM - 4:45PM","New Cabell Hall 132","Ethnography","",Open,15,27,0
26774,ANTH,3603,001,Workshop,"3","Fraser Neiman","We 4:30PM - 7:00PM","Campbell Hall 105","Archaeological Aproaches to Atlantic Slavery","",Open,7,10,0
10521,ANTH,3630,001,Lecture,"3","John Shepherd","TuTh 12:30PM - 1:45PM","Rouss Hall 410","Chinese Family and Religion","",Open,29,30,0
16095,ANTH,3680,001,Lecture,"3","Margaret Smith","TuTh 9:30AM - 10:45AM","New Cabell Hall B031","Anthropology of Australian Aboriginal Art","",Closed,11,12,0
10523,ANTH,3700,001,Lecture,"3","Ravindra Khare","Mo 2:00PM - 4:30PM","New Cabell Hall 325","Contemporary India","",Open,25,30,0
26287,ANTH,3840,001,Lecture,"3","Sue McCarty","TuTh 12:30PM - 1:45PM","Minor Hall 130","Archaeology of the Middle East","",Open,32,35,0
15205,ANTH,3870,001,Lecture,"3","Jeffrey Hantman","MoWe 2:00PM - 3:15PM","Maury Hall 110","Archaeology of Virginia","",Open,23,25,0
