ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
12633,AAS,2224,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","Monroe Hall 110","Black Femininities and Masculinities in the US Media","",Closed,16,12,0
12706,AAS,2559,001,Seminar,"3","Erin Nourse","MoTuWeThFr 10:30AM - 12:45PM","McLeod Hall 2006","New Course in African and African American Studies","Intro to African Religions",Open,13,18,0
12710,AAS,3559,001,Seminar,"3","Theodore Cohen","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall G054","New Course in African and African American Studies","Slavery & Emancipation in Film",Open,5,18,0
12634,AAS,3749,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 334","Food and Meaning in Africa and the Diaspora","",Open,9,18,0
12793,AAS,4993,003,Independent Study,"1 - 6","Lisa Shutt","TBA","TBA","Independent Study","",Open,2,30,0
12969,AAS,4993,004,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","Independent Study","",Open,2,30,0
12270,ACCT,3110,701,Lecture,"3","Leon Hutton","MoTh 6:30PM - 10:00PM","Northern Virginia Center","Intermediate Accounting I","",Open,10,24,0
12305,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 10:00PM","Web-Based Course-No class mtgs","Cost Accounting","",Open,16,24,0
12307,ACCT,4450,701,Lecture,"3","Thomas Hughes","WeFr 6:30PM - 10:00PM","Northern Virginia Center","Federal Taxation I","",Open,5,24,0
12306,ACCT,5210,701,Lecture,"3","Karen Young","Th 6:30PM - 10:00PM","Northern Virginia Center","Introductory Auditing","",Open,8,24,0
12308,ACCT,5460,701,Lecture,"3","Gary Dittmer","Mo 1:01AM - 1:02AM","Web-Based Course-No class mtgs","Federal Taxation II","",Open,19,24,0
10002,ALAR,5010,001,Lecture,"1","Matthew Jull, Teresa Gali Izard","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 305","Introduction to Design","",Open,22,30,0
10003,ALAR,5020,001,Lecture,"1","Matthew Jull, Teresa Gali Izard","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 405","Introduction to Design Graphics","",Open,22,30,0
10004,ALAR,5030,001,Lecture,"1","Matthew Jull, Teresa Gali Izard","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 139","Introduction to Design Theory and Analysis","",Open,22,30,0
12714,ANTH,1010,502,Lecture,"3","Richard Handler","TBA","Semester at Sea","Introduction to Anthropology","",Closed,56,30,0
12263,ANTH,2345,001,Seminar,"3","Jennie Doberne","MoTuWeThFr 10:30AM - 12:45PM","Brooks Hall 103","Anthropology of Reproduction: Fertility and the Future","",Open,7,20,0
12712,ANTH,2500,003,Lecture,"3","Patricia Wattenmaker","MoTuWeThFr 1:00PM - 3:15PM","GIlmer Hall 155","Cultures, Regions, and Civilizations","Middle East: Cultures  & Class",Open,8,20,0
12713,ANTH,2500,04,Lecture,"3","Arsalan Khan","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall G054","Cultures, Regions, and Civilizations","South Asia: Religion & Nation",Open,7,20,0
12479,ANTH,2559,002,Lecture,"1 - 4","Colum Leckey, Rachel Most","MoTuWe 1:00PM - 3:15PM","Nau Hall 241","New Course in Anthropology","Prehist and Hist of Pueblo SW",Open,8,20,0
10895,ANTH,2800,001,Lecture,"3","Abigail Holeman","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 215","Introduction to Archaeology","",Open,5,30,0
12264,ANTH,3240,001,Lecture,"3","Julie Starr","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 235","The Anthropology of Food","",Closed,17,20,0
12284,ANTH,3300,001,Lecture,"3","George Mentore","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 328","Tournaments and Athletes","",Open,19,20,0
10739,ANTH,9999,001,Independent Study,"1 - 12","Richard Handler","TBA","TBA","Non-Topical Research","",Open,0,30,0
10893,ANTH,9999,002,Independent Study,"1 - 12","Susan McKinnon","TBA","TBA","Non-Topical Research","",Open,0,30,0
