ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10266,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies II","",Closed,123,118,0
10271,AAS,1020,101,Discussion,"4","Shermaine Jones","Th 6:00PM - 6:50PM","New Cabell Hall 330","Introduction to African-American and African Studies II","",Closed,18,18,0
10270,AAS,1020,102,Discussion,"4","Shermaine Jones","Th 4:00PM - 4:50PM","New Cabell Hall 338","Introduction to African-American and African Studies II","",Closed,24,20,0
10269,AAS,1020,103,Discussion,"4","Mateusz Liese","We 5:00PM - 5:50PM","New Cabell Hall 332","Introduction to African-American and African Studies II","",Closed,21,20,0
10268,AAS,1020,104,Discussion,"4","Shermaine Jones","We 2:00PM - 2:50PM","Maury Hall 110","Introduction to African-American and African Studies II","",Closed,20,20,0
10272,AAS,1020,105,Discussion,"4","Mateusz Liese","Th 7:00PM - 7:50PM","New Cabell Hall 330","Introduction to African-American and African Studies II","",Closed,20,20,0
10267,AAS,1020,106,Discussion,"4","Mateusz Liese","We 6:00PM - 6:50PM","Dell 2  102","Introduction to African-American and African Studies II","",Closed,20,20,0
20540,AAS,3250,100,Lecture,"3","Kendra Hamilton","MoWe 11:00AM - 11:50AM","Clark Hall 101","MotherLands: Landscapes of Hunger, Futures of Plenty","",Open,8,9,0
20541,AAS,3250,101,Discussion,"3","Kendra Hamilton","Fr 11:00AM - 11:50AM","Fayerweather Hall 215","MotherLands: Landscapes of Hunger, Futures of Plenty","",Closed,6,5,0
20542,AAS,3250,102,Discussion,"3","Kendra Hamilton","Fr 10:00AM - 10:50AM","Fayerweather Hall 215","MotherLands: Landscapes of Hunger, Futures of Plenty","",Open,2,5,0
11981,AAS,3500,001,Seminar,"3","Barbara Boswell","TuTh 11:00AM - 12:15PM","Bryan Hall 330","Intermediate Seminar in African-American & African Studies","South African Literature",Closed,8,9,0
19965,AAS,3559,001,Seminar,"3","Lisa Shutt","Th 3:30PM - 6:00PM","New Cabell Hall 521","New Course in African and African American Studies","African Worlds in Biography",Open,11,18,0
19964,AAS,3559,002,Seminar,"3","Marlon Ross","TuTh 9:30AM - 10:45AM","Mcleod Hall 2006","New Course in African and African American Studies","Black Protest Narrative",Closed,5,5,0
20179,AAS,3559,003,Seminar,"3","Justin Rose","TuTh 2:00PM - 3:15PM","Wilson Hall 215","New Course in African and African American Studies","M.L. King's Political Thought",Open,19,24,0
20923,AAS,3559,004,Seminar,"3","Lisa Shutt","We 3:30PM - 6:00PM","New Cabell Hall 345","New Course in African and African American Studies","Insiders&Outsiders in Africa",Closed,21,18,0
21768,AAS,3559,005,Seminar,"3","Tyler Fleming","Mo 3:30PM - 6:00PM","Wilson Hall 141B","New Course in African and African American Studies","Pop. Cultures Black Atlantic",Open,2,5,0
10274,AAS,4080,001,Independent Study,"3","Claudrena Harold","TBA","TBA","Thesis","",Open,5,10,0
16137,AAS,4501,001,Seminar,"4","Claudrena Harold","Tu 3:30PM - 6:00PM","Nau 341","Advanced Research Seminar in History & AAS","Black Power",Closed,20,8,0
20180,AAS,4570,002,Seminar,"3","Kwame Holmes","Tu 3:30PM - 6:00PM","New Cabell 543","Advanced Research Seminar in African-American & African Studies","That's Ghetto!",Open,9,18,0
20181,AAS,4570,003,Seminar,"3","Tyler Fleming","Mo 3:30PM - 6:00PM","Wilson Hall 141B","Advanced Research Seminar in African-American & African Studies","Pop. Cultures Black Atlantic",Open,3,6,0
21901,AAS,4993,001,Independent Study,"3","Lisa Shutt","TBA","TBA","Independent Study","",Open,2,30,0
14656,AAS,4993,002,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,5,30,0
15334,AAS,4993,003,Independent Study,"3","Kenrick Grandison","TBA","TBA","Independent Study","",Open,1,30,0
16288,AAS,4993,004,Independent Study,"3","Claudrena Harold","TBA","TBA","Independent Study","",Open,12,30,0
20615,ACCT,2010,701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Closed,20,20,0
20617,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:30PM","Northern Virginia Center","Introductory Accounting II","",Closed,7,7,0
20618,ACCT,3110,701,Lecture,"3","Leon Hutton","Th 6:30PM - 9:30PM","Northern Virginia Center","Intermediate Accounting I","",Closed,14,14,0
21031,ACCT,3120,500,Lecture,"3","Rebecca Adams","Tu 6:15PM - 9:15PM","Zehmer Hall Conference Center","Intermediate Accounting II","",Open,4,20,0
20619,ACCT,3120,701,Lecture,"3","Cory Kirchert","Sa 9:00AM - 12:30PM","Northern Virginia Center","Intermediate Accounting II","",Closed,12,12,0
20630,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:30PM","Northern Virginia Center","Cost Accounting","",Closed,8,8,0
20634,ACCT,4450,701,Lecture,"3","Gary Dittmer","Mo 1:11AM - 1:11AM","Web-Based Course-no class mtgs","Federal Taxation I","",Closed,16,16,0
20633,ACCT,5210,701,Lecture,"3","Karen Young","Tu 6:30PM - 9:30PM","Northern Virginia Center","Introductory Auditing","",Closed,5,5,0
21032,ACCT,5310,500,Lecture,"3","Rebecca Adams","Th 6:15PM - 9:15PM","Zehmer Hall Conference Center","Selected Topics in Advanced Accounting","",Open,6,25,0
20636,ACCT,5330,701,Lecture,"3","Richard Evans","Th 6:30PM - 9:30PM","Northern Virginia Center","Accounting for Non-Business Organizations","",Closed,13,13,0
21131,ACCT,5410,500,Lecture,"3","Ralph Traylor","We 6:00PM - 9:00PM","Zehmer Hall Conference Center","Fraud Examination","",Open,15,25,0
20637,ACCT,5460,701,Lecture,"3","Thomas Hughes","Fr 6:30PM - 10:00PM","Northern Virginia Center","Federal Taxation II","",Closed,11,11,0
18717,AIRS,100,001,Laboratory,"0","Staff","Tu 3:30PM - 5:30PM","Physics Bldg 203","Leadership Laboratory","",Closed,30,30,0
18711,AIRS,1200,001,Lecture,"1","Jarvora Duncan","Tu 1:00PM - 1:50PM","Gilmer Hall 166","The Foundations of the U.S. Air Force","",Open,8,80,0
18712,AIRS,1200,002,Lecture,"1","Jarvora Duncan","Th 2:00PM - 2:50PM","Cauthen House 134","The Foundations of the U.S. Air Force","",Open,9,30,0
18713,AIRS,2200,001,Lecture,"1","Jarvora Duncan","Tu 2:00PM - 2:50PM","Gilmer Hall 166","The Evolution of Air and Space Power","",Open,11,20,0
18714,AIRS,2200,002,Lecture,"1","Jarvora Duncan","Th 3:00PM - 3:50PM","Cauthen House 134","The Evolution of Air and Space Power","",Open,8,30,0
18715,AIRS,3200,001,Lecture,"3","Vondray Sanford","Tu 12:30PM - 3:30PM","Cauthen House 134","Concepts of Air Force Leadership and Management","",Open,7,25,0
18716,AIRS,4200,001,Lecture,"3","Jon Wolfe","Tu 12:30PM - 3:30PM","Contact Department","National Security Affairs/Preparation for Active Duty","",Open,12,30,0
10089,ALAR,6712,001,Workshop,"2","Earl Mark","TuTh 2:00PM - 3:15PM","Campbell Hall 105","Studio Workshop","",Open,11,22,0
10111,ALAR,7020,001,Studio,"6","Staff","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio I","",Open,0,80,0
10112,ALAR,7020,002,Studio,"6","Michael Beaman","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio I","",Open,5,30,0
10113,ALAR,7020,003,Studio,"6","W Clark","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio I","",Open,6,30,0
10114,ALAR,7020,004,Studio,"6","Edward Ford","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio I","",Open,8,30,0
10115,ALAR,7020,005,Studio,"6","Margarita Jover","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio I","",Open,8,30,0
10159,ALAR,7020,006,Studio,"6","Nana Last","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio I","",Open,1,30,0
10235,ALAR,7020,007,Studio,"6","Julian Raxworthy","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio I","",Open,8,20,0
10237,ALAR,7020,008,Studio,"6","Jorg Sieweke","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio I","",Open,9,20,0
21810,ALAR,7020,009,Studio,"6","Anselmo Canfora","TBA","TBA","Design Research Studio I","",Closed,2,2,0
10116,ALAR,8020,001,Studio,"6","Staff","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio II","",Open,0,80,0
10118,ALAR,8020,003,Studio,"6","W Clark","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio II","",Open,7,30,0
10119,ALAR,8020,004,Studio,"6","Edward Ford","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio II","",Open,5,30,0
10120,ALAR,8020,005,Studio,"6","Margarita Jover","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio II","",Open,5,30,0
10160,ALAR,8020,006,Studio,"6","Nana Last","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio II","",Open,7,30,0
10236,ALAR,8020,007,Studio,"6","Julian Raxworthy","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Design Research Studio II","",Open,6,20,0
10132,ALAR,8995,001,Studio,"6","Craig Barton","MoWeFr 2:00PM - 5:45PM","Campbell Hall 401","Independent Design Research Studio","",Open,14,25,0
19967,AMST,2220,001,Lecture,"3","Carmenita Higginbotham","TuTh 9:30AM - 10:45AM","Nau 141","Race, Identity and American Visual Culture","",Closed,28,25,0
19968,AMST,2300,001,Lecture,"3","Daniel Chavez","TuTh 11:00AM - 12:15PM","Bryan Hall 235","Introduction to U.S. Latino Studies","",Closed,28,25,0
12188,AMST,3001,001,Seminar,"3","Sandhya Shukla","TuTh 11:00AM - 12:15PM","Bryan Hall 332","Theories and Methods of American Studies","",Open,17,18,0
19969,AMST,3001,002,Seminar,"3","Grace Hale","MoWe 2:00PM - 3:15PM","Nau 242","Theories and Methods of American Studies","",Open,14,18,0
21236,AMST,3559,001,Lecture,"3","Lisa Goff","MoWe 2:00PM - 3:15PM","Clark Hall 102","New Course in American Studies","Shantytown, U.S.A.",Closed,26,25,0
