ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10366,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Minor Hall 125","Introduction to African-American and African Studies II","",Closed,139,118,0
10371,AAS,1020,101,Discussion,"4","Kimberly Love","Th 6:00PM - 6:50PM","New Cabell Hall 027","Introduction to African-American and African Studies II","",Closed,21,18,0
10370,AAS,1020,102,Discussion,"4","Kimberly Love","Th 4:00PM - 4:50PM","Maury Hall 113","Introduction to African-American and African Studies II","",Closed,31,20,0
10369,AAS,1020,103,Discussion,"4","Gillet Rosenblith","We 5:00PM - 5:50PM","New Cabell Hall 168","Introduction to African-American and African Studies II","",Closed,24,20,0
10368,AAS,1020,104,Discussion,"4","Gillet Rosenblith","We 7:00PM - 7:50PM","New Cabell Hall 168","Introduction to African-American and African Studies II","",Closed,21,20,0
10372,AAS,1020,105,Discussion,"4","Kimberly Love","Th 7:00PM - 7:50PM","New Cabell Hall 027","Introduction to African-American and African Studies II","",Closed,22,20,0
10367,AAS,1020,106,Discussion,"4","Gillet Rosenblith","We 6:00PM - 6:50PM","New Cabell Hall 168","Introduction to African-American and African Studies II","",Closed,20,20,0
20864,AAS,2224,001,Seminar,"3","Lisa Shutt","Tu 6:30PM - 9:00PM","New Cabell Hall 132","Black Femininities and Masculinities in the US Media","",Closed,21,18,0
16131,AAS,3456,001,Seminar,"3","Joseph Hylton","MoWeFr 9:00AM - 9:50AM","New Cabell Hall 111","The Supreme Court and the Civil Rights Movement","",Open,13,20,0
16134,AAS,3500,001,Seminar,"3","Sabrina Pendergrass","TuTh 2:00PM - 3:15PM","New Cabell Hall 027","Intermediate Seminar in African-American & African Studies","Race, Culture and Inequality",Closed,24,24,0
21272,AAS,3500,002,Seminar,"3","Pamela Reynolds","We 6:30PM - 9:00PM","Bryan Hall 334","Intermediate Seminar in African-American & African Studies","Af Amer Health Professionals",Open,5,18,0
19600,AAS,3559,001,Seminar,"3","Claudrena Harold","TuTh 11:00AM - 12:15PM","Gilmer Hall 190","New Course in African and African American Studies","Black Fire",Closed,83,50,0
10373,AAS,4080,001,Independent Study,"3","Claudrena Harold","TBA","TBA","Thesis","",Open,1,10,0
21336,AAS,4109,001,Seminar,"3","Aniko Bodroghkozy","TuTh 3:30PM - 4:45PM","Wilson Hall 235","Civil Rights Movement and the Media","",Open,14,20,0
16268,AAS,4500,001,Seminar,"3","Marlon Ross","TuTh 2:00PM - 3:15PM","Bryan Hall 332","Advanced Seminar in African-American and African Studies","Critical Race Theory",Closed,6,6,0
20865,AAS,4501,001,Seminar,"4","Claudrena Harold","Th 3:30PM - 6:00PM","New Cabell Hall 042","Advanced Research Seminar in History & AAS","Black Power",Closed,12,12,0
20070,AAS,4559,001,Seminar,"3","Kenrick Grandison","Tu 6:30PM - 9:00PM","Bryan Hall 235","New Course in African and African American Studies","Heard it on the Radio",Open,3,4,0
15134,AAS,4570,002,Seminar,"3","Katherine Wiley","We 3:30PM - 6:00PM","New Cabell Hall 209","Advanced Research Seminar in African-American & African Studies","Women&Muslim Culture in Africa",Open,3,10,0
20939,AAS,4570,003,Seminar,"3","Latasha Levy","Mo 3:30PM - 6:00PM","New Cabell Hall 209","Advanced Research Seminar in African-American & African Studies","Black Conservatism&ItsCritics",Open,4,16,0
15402,AAS,4993,001,Independent Study,"1 - 6","Lisa Shutt","TBA","TBA","Independent Study","",Open,2,30,0
13841,AAS,4993,002,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,4,30,0
14331,AAS,4993,003,Independent Study,"3","Kenrick Grandison","TBA","TBA","Independent Study","",Open,0,30,0
14672,AAS,4993,004,Independent Study,"1 - 6","Claudrena Harold","TBA","TBA","Independent Study","",Open,3,30,0
20653,ACCT,2010,701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Open,14,24,0
20655,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:00PM - 9:00PM","Web-Based Course-No class mtgs","Introductory Accounting II","",Open,6,24,0
20656,ACCT,3110,701,Lecture,"3","Leon Hutton","We 6:30PM - 9:30PM","Northern Virginia Center","Intermediate Accounting I","",Open,12,24,0
20660,ACCT,3120,501,Lecture,"3","Rebecca Adams","Th 6:15PM - 9:15PM","Zehmer Hall Conference Center","Intermediate Accounting II","",Open,5,24,0
20657,ACCT,3120,701,Lecture,"3","Cory Kirchert","Sa 9:00AM - 12:30PM","Northern Virginia Center","Intermediate Accounting II","",Open,7,24,0
20910,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:30PM","Web-Based Course-No class mtgs","Cost Accounting","",Open,12,24,0
20911,ACCT,4450,701,Lecture,"3","Gary Dittmer","Mo 6:30PM - 9:30PM","Web-Based Course-No class mtgs","Federal Taxation I","",Closed,24,24,0
20658,ACCT,5250,701,Lecture,"3","Richard Evans","Th 6:30PM - 9:30PM","Northern Virginia Center","Advanced Auditing","",Open,15,24,0
20913,ACCT,5310,701,Lecture,"3","Gary Brooks","Tu 6:30PM - 9:30PM","Web-Based Course-No class mtgs","Selected Topics in Advanced Accounting","",Open,23,24,0
20659,ACCT,5460,701,Lecture,"3","Thomas Hughes","Fr 6:30PM - 9:45PM","Northern Virginia Center","Federal Taxation II","",Open,4,24,0
18864,AIRS,100,001,Laboratory,"0","Jennifer Hubal","Tu 3:30PM - 5:30PM","Physics Bldg 203","Leadership Laboratory","",Open,59,60,0
18866,AIRS,100,002,Laboratory,"0","Jennifer Hubal","Su 9:00AM - 11:00AM","Astronomy Bldg 139","Leadership Laboratory","",Open,0,50,0
18858,AIRS,1200,001,Lecture,"1","Nina Rourke","Tu 1:00PM - 1:50PM","Thornton Hall E303","The Foundations of the U.S. Air Force","",Open,20,60,0
18859,AIRS,1200,002,Lecture,"1","Nina Rourke","Th 2:00PM - 2:50PM","Cauthen House 134","The Foundations of the U.S. Air Force","",Open,14,35,0
