ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10484,AAS,1020,100,Lecture,"4","Kenrick Grandison, Marlon Ross","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies II","",Open,73,118,0
10489,AAS,1020,101,Discussion,"4","Tamika Richeson","Th 6:00PM - 6:50PM","New Cabell Hall 283","Introduction to African-American and African Studies II","",Open,7,18,0
10488,AAS,1020,102,Discussion,"4","Tamika Richeson","Th 4:00PM - 4:50PM","New Cabell Hall 542","Introduction to African-American and African Studies II","",Open,10,20,0
10487,AAS,1020,103,Discussion,"4","Cecilia Marquez","We 5:00PM - 5:50PM","New Cabell Hall 419","Introduction to African-American and African Studies II","",Open,19,20,0
10486,AAS,1020,104,Discussion,"4","Cecilia Marquez","We 2:00PM - 2:50PM","Pavilion VIII 108","Introduction to African-American and African Studies II","",Closed,20,20,0
10490,AAS,1020,105,Discussion,"4","Tamika Richeson","Th 7:00PM - 7:50PM","New Cabell Hall 209","Introduction to African-American and African Studies II","",Open,5,20,0
10485,AAS,1020,106,Discussion,"4","Cecilia Marquez","We 6:00PM - 6:50PM","New Cabell Hall 419","Introduction to African-American and African Studies II","",Open,12,20,0
20808,AAS,3000,001,Seminar,"3","Cynthia Hoehler-Fatton","TuTh 12:30PM - 1:45PM","Gibson Hall 241","Women and Religion in Africa","",Closed,4,5,0
20809,AAS,3456,001,Seminar,"3","Joseph Hylton","Tu 6:30PM - 9:00PM","New Cabell Hall 211","The Supreme Court and the Civil Rights Movement","",Open,16,20,0
20811,AAS,3500,001,Seminar,"3","Lisa Shutt","Mo 3:30PM - 6:00PM","New Cabell Hall 415","Intermediate Seminar in African-American & African Studies","Insiders&Outsiders in Africa",Open,19,20,0
20812,AAS,3500,002,Seminar,"3","Lisa Shutt","We 3:30PM - 6:00PM","Maury Hall 113","Intermediate Seminar in African-American & African Studies","African Worlds in Biography",Open,12,26,0
20813,AAS,3500,003,Seminar,"3","Sabrina Pendergrass","TuTh 2:00PM - 3:15PM","New Cabell Hall 430","Intermediate Seminar in African-American & African Studies","Race, Culture and Inequality",Closed,25,24,0
11947,AAS,3500,004,Seminar,"3","Barbara Boswell","TuTh 11:00AM - 12:15PM","Wilson Hall 235","Intermediate Seminar in African-American & African Studies","Women Writing Africa",Closed,9,9,0
21385,AAS,3500,005,Seminar,"3","Pamela Reynolds","Tu 3:30PM - 6:00PM","Pavilion VIII 103","Intermediate Seminar in African-American & African Studies","Af-American Health Professnals",Closed,18,18,0
21691,AAS,3500,006,Seminar,"3","Zakiyyah Jackson","We 6:30PM - 9:00PM","Bryan Hall 334","Intermediate Seminar in African-American & African Studies","Afrofuturist Fiction",Open,0,10,0
20814,AAS,3559,001,Seminar,"3","Claudrena Harold","TuTh 12:30PM - 1:45PM","Gilmer Hall 190","New Course in African and African American Studies","Sounds of Blackness",Closed,146,120,0
10491,AAS,4080,001,Independent Study,"3","Claudrena Harold","TBA","TBA","Thesis","",Open,2,10,0
21163,AAS,4500,001,Seminar,"3","Lisa Woolfork","TuTh 11:00AM - 12:15PM","Bryan Hall 330","Advanced Seminar in African-American and African Studies","Fictions of Black Identity",Closed,5,6,0
16177,AAS,4570,001,Seminar,"3","Barbara Boswell","Tu 3:30PM - 6:00PM","Wilson Hall 215","Advanced Research Seminar in African-American & African Studies","The Black Body in Translation",Open,10,18,0
16178,AAS,4570,002,Seminar,"3","Zakiyyah Jackson","We 6:30PM - 9:00PM","Bryan Hall 334","Advanced Research Seminar in African-American & African Studies","Afrofuturist Fiction",Open,3,8,0
16668,AAS,4993,001,Independent Study,"3","Lisa Shutt","TBA","TBA","Independent Study","",Open,0,30,0
14310,AAS,4993,002,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,4,30,0
14879,AAS,4993,003,Independent Study,"3","Kenrick Grandison","TBA","TBA","Independent Study","",Open,0,30,0
15337,AAS,4993,004,Independent Study,"3","Claudrena Harold","TBA","TBA","Independent Study","",Open,3,30,0
20112,ACCT,2010,701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Open,6,24,0
20114,ACCT,2020,701,Lecture,"3","Leon Hutton","We 6:30PM - 9:45PM","Northern Virginia Center","Introductory Accounting II","",Open,10,24,0
20115,ACCT,3110,701,Lecture,"3","Leon Hutton","Th 6:30PM - 9:45PM","Northern Virginia Center","Intermediate Accounting I","",Open,5,24,0
20683,ACCT,3120,501,Lecture,"3","Rebecca Adams","Th 6:15PM - 9:15PM","Zehmer Hall Conference Center","Intermediate Accounting II","",Open,7,20,0
20116,ACCT,3120,701,Lecture,"3","Cory Kirchert","Sa 9:00AM - 12:30PM","Northern Virginia Center","Intermediate Accounting II","",Open,17,24,0
20117,ACCT,3140,701,Lecture,"3","William Cardine","Mo 1:25AM - 1:25AM","Web-Based Course-No class mtgs","Cost Accounting","",Open,13,24,0
20118,ACCT,4450,701,Lecture,"3","Gary Dittmer","Mo 1:26AM - 1:26AM","Web-Based Course-No class mtgs","Federal Taxation I","",Open,18,24,0
21133,ACCT,5210,701,Lecture,"3","Karen Young","Tu 6:30PM - 9:30PM","Northern Virginia Center","Introductory Auditing","",Open,20,24,0
20119,ACCT,5250,701,Lecture,"3","Karen Young","We 6:30PM - 9:30PM","Northern Virginia Center","Advanced Auditing","",Open,8,24,0
