ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10983,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Minor Hall 125","Introduction to African-American and African Studies II","",Open,97,118,0
10993,AAS,1020,101,Discussion,"4","Jon Shoup","Th 6:00PM - 6:50PM","New Cabell Hall 242","Introduction to African-American and African Studies II","",Open,13,20,0
10991,AAS,1020,102,Discussion,"4","Jon Shoup","Th 4:00PM - 4:50PM","New Cabell Hall 236","Introduction to African-American and African Studies II","",Closed,21,20,0
10989,AAS,1020,103,Discussion,"4","Z'Etoile Imma","We 5:00PM - 5:50PM","New Cabell Hall 235","Introduction to African-American and African Studies II","",Open,16,20,0
10987,AAS,1020,104,Discussion,"4","Z'Etoile Imma","We 2:00PM - 2:50PM","New Cabell Hall 139","Introduction to African-American and African Studies II","",Closed,20,20,0
10995,AAS,1020,105,Discussion,"4","Jon Shoup","Th 7:00PM - 7:50PM","New Cabell Hall 130","Introduction to African-American and African Studies II","",Open,14,20,0
10985,AAS,1020,106,Discussion,"4","Z'Etoile Imma","We 3:00PM - 3:50PM","New Cabell Hall B028","Introduction to African-American and African Studies II","",Open,13,20,0
20368,AAS,1559,001,Seminar,"3","Joy James","Fr 9:00AM - 11:00AM","Wilson Hall 141A","New Course in African and African American Studies","Black Feminist Theory & Praxis",Open,4,15,0
18127,AAS,3000,001,Seminar,"3","Cynthia Hoehler-Fatton","TuTh 12:30PM - 1:45PM","Gibson 242","Women and Religion in Africa","",Closed,9,8,0
18128,AAS,3500,001,Seminar,"3","Anoop Mirpuri","TuTh 5:00PM - 6:15PM","New Cabell Hall 134","Intermediate Seminar in African-American & African Studies","Race and Urbanism in America",Open,17,20,0
21285,AAS,3559,001,Seminar,"3","Jason Hickel","TuTh 9:30AM - 10:45AM","Pavilion VIII 103","New Course in African and African American Studies","Soc. & Development in Africa",Closed,22,20,0
11005,AAS,4080,001,Independent Study,"3","Cynthia Hoehler-Fatton","TBA","TBA","Thesis","",Open,4,10,0
18132,AAS,4570,001,Seminar,"3","Alisha Gaines","Tu 3:30PM - 6:00PM","Wilson Hall 215","Advanced Research Seminar in African-American & African Studies","Insufficient Blackness",Open,17,18,0
18133,AAS,4570,002,Seminar,"3","Cassie Hays","Th 3:30PM - 6:00PM","New Cabell Hall 234","Advanced Research Seminar in African-American & African Studies","Violence, Genocide, and Africa",Open,15,18,0
20376,AAS,4570,003,Seminar,"3","Joy James","Fr 12:00PM - 2:30PM","New Cabell Hall 324","Advanced Research Seminar in African-American & African Studies","Prosecuting Rape and Race",Open,2,15,0
21019,AAS,4845,001,Lecture,"3","Lisa Woolfork","TuTh 11:00AM - 12:15PM","New Cabell Hall 335","Black Speculative Fiction","",Open,6,9,0
10997,AAS,4993,001,Independent Study,"3","Cynthia Hoehler-Fatton","TBA","TBA","Independent Study","",Open,0,10,0
23566,AAS,4993,002,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,5,30,0
24686,AAS,4993,003,Independent Study,"3","Kenrick Grandison","TBA","TBA","Independent Study","",Open,1,30,0
24700,AAS,4993,004,Independent Study,"3","Scot French","TBA","TBA","Independent Study","",Open,1,30,0
18134,AAS,5528,001,Seminar,"3","Marlon Ross","Tu 6:30PM - 9:00PM","Bryan Hall 310","Topics in Race Theory","Queer Race Theory",Open,4,5,0
19635,ACCT,2010,701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Open,16,24,0
19636,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:30PM","Northern Virginia Center","Introductory Accounting II","",Open,15,24,0
19637,ACCT,3110,701,Lecture,"3","Leon Hutton","Th 6:30PM - 9:30PM","Northern Virginia Center","Intermediate Accounting I","",Open,20,24,0
19804,ACCT,3120,502,Lecture,"3","Rebecca Adams","Mo 6:15PM - 9:15PM","Zehmer Hall Conference Center","Intermediate Accounting II","",Open,10,20,0
19638,ACCT,3120,701,Lecture,"3","Cory Kirchert","Sa 9:00AM - 12:00PM","Northern Virginia Center","Intermediate Accounting II","",Open,15,24,0
19640,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:30PM","Northern Virginia Center","Cost Accounting","",Open,14,24,0
19641,ACCT,4450,701,Lecture,"3","Gary Dittmer","Mo 1:00AM - 1:00AM","Web-Based Course-no class mtgs","Federal Taxation I","",Open,23,24,0
