ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
11835,CE,8999,016,Independent Study,"1 - 12","Osman Ozbulut","TBA","TBA","Thesis","",Open,0,30,0
12694,CE,8999,018,Independent Study,"1 - 12","Michael Fontaine","TBA","TBA","Thesis","",Open,1,30,0
12732,CE,8999,019,Independent Study,"1 - 12","Jonathan Goodall","TBA","TBA","Thesis","",Open,2,30,0
11733,CE,9999,001,Independent Study,"1 - 12","Steven Chase","TBA","TBA","Dissertation","",Open,1,30,0
11734,CE,9999,002,Independent Study,"1 - 12","Andres Clarens","TBA","TBA","Dissertation","",Open,4,30,0
11735,CE,9999,003,Independent Study,"1 - 12","Lisa Peterson","TBA","TBA","Dissertation","",Open,1,30,0
11736,CE,9999,004,Independent Study,"1 - 12","Teresa Culver","TBA","TBA","Dissertation","",Open,1,30,0
11738,CE,9999,006,Independent Study,"1 - 12","John Miller","TBA","TBA","Dissertation","",Open,1,30,0
11739,CE,9999,007,Independent Study,"1 - 12","Roseanne Ford","TBA","TBA","Dissertation","",Open,0,30,0
11740,CE,9999,008,Independent Study,"1 - 12","Wu-Seng Lung","TBA","TBA","Dissertation","",Open,0,30,0
11741,CE,9999,009,Independent Study,"1 - 12","Byungkyu Park","TBA","TBA","Dissertation","",Open,2,30,0
11742,CE,9999,010,Independent Study,"1 - 12","Marek-Jerzy Pindera","TBA","TBA","Dissertation","",Open,2,30,0
11743,CE,9999,011,Independent Study,"1 - 12","Brian Smith","TBA","TBA","Dissertation","",Open,4,30,0
11744,CE,9999,012,Independent Study,"1 - 12","James Smith","TBA","TBA","Dissertation","",Open,4,30,0
11832,CE,9999,013,Independent Study,"1 - 12","Devin Harris","TBA","TBA","Dissertation","",Open,2,30,0
11833,CE,9999,014,Independent Study,"1 - 12","Osman Ozbulut","TBA","TBA","Dissertation","",Open,3,30,0
12695,CE,9999,016,Independent Study,"1 - 12","Michael Fontaine","TBA","TBA","Dissertation","",Open,0,30,0
12696,CE,9999,017,Independent Study,"1 - 12","Richard Miksad","TBA","TBA","Dissertation","",Open,0,30,0
12733,CE,9999,018,Independent Study,"1 - 12","Jonathan Goodall","TBA","TBA","Dissertation","",Open,2,30,0
12734,CE,9999,019,Independent Study,"1 - 12","Lindsay Burden","TBA","TBA","Dissertation","",Open,0,30,0
10226,CELL,9999,001,Independent Study,"1 - 12","George Bloom","TBA","TBA","Non-Topical Research","",Open,0,30,0
10227,CELL,9999,002,Independent Study,"1 - 12","James Casanova","TBA","TBA","Non-Topical Research","",Open,1,30,0
10228,CELL,9999,003,Independent Study,"1 - 12","John Castle","TBA","TBA","Non-Topical Research","",Open,0,30,0
10229,CELL,9999,004,Independent Study,"1 - 12","Douglas Desimone","TBA","TBA","Non-Topical Research","",Open,3,30,0
10230,CELL,9999,005,Independent Study,"1 - 12","Daniel Foltz","TBA","TBA","Non-Topical Research","",Open,0,30,0
10231,CELL,9999,006,Independent Study,"1 - 12","Barry Gumbiner","TBA","TBA","Non-Topical Research","",Open,0,30,0
10232,CELL,9999,007,Independent Study,"1 - 12","Alan Horwitz","TBA","TBA","Non-Topical Research","",Open,0,30,0
10233,CELL,9999,008,Independent Study,"1 - 12","Donald Hunt","TBA","TBA","Non-Topical Research","",Open,0,30,0
10234,CELL,9999,009,Independent Study,"1 - 12","Xiaowei Lu","TBA","TBA","Non-Topical Research","",Open,0,30,0
10235,CELL,9999,010,Independent Study,"1 - 12","Ian Macara","TBA","TBA","Non-Topical Research","",Open,0,30,0
10236,CELL,9999,011,Independent Study,"1 - 12","Gary Owens","TBA","TBA","Non-Topical Research","",Open,0,30,0
10237,CELL,9999,012,Independent Study,"1 - 12","Bryce Paschal","TBA","TBA","Non-Topical Research","",Open,1,30,0
10238,CELL,9999,013,Independent Study,"1 - 12","Kodi Ravichandran","TBA","TBA","Non-Topical Research","",Open,0,30,0
10239,CELL,9999,014,Independent Study,"1 - 12","Jeffrey Smith","TBA","TBA","Non-Topical Research","",Open,0,30,0
10240,CELL,9999,015,Independent Study,"1 - 12","Peter Stukenberg","TBA","TBA","Non-Topical Research","",Open,1,30,0
10241,CELL,9999,016,Independent Study,"1 - 12","Judith White","TBA","TBA","Non-Topical Research","",Open,0,30,0
10242,CELL,9999,017,Independent Study,"1 - 12","David Wotton","TBA","TBA","Non-Topical Research","",Open,0,30,0
10243,CELL,9999,018,Independent Study,"1 - 12","Jing Yu","TBA","TBA","Non-Topical Research","",Open,1,30,0
10932,CELL,9999,019,Independent Study,"1 - 12","Adrian Halme","Mo 8:00AM - 9:00AM","TBA","Non-Topical Research","",Open,2,30,0
10933,CELL,9999,020,Independent Study,"1 - 12","Raymond Keller","Mo 8:00AM - 8:50AM","TBA","Non-Topical Research","",Open,1,30,0
10934,CELL,9999,021,Independent Study,"1 - 12","Ann Sutherland","Mo 8:00AM - 8:50AM","TBA","Non-Topical Research","",Open,0,30,0
10936,CELL,9999,022,Independent Study,"1 - 12","Jessica Connelly","Mo 8:00AM - 8:50AM","TBA","Non-Topical Research","",Open,0,30,0
11863,CHE,4995,001,Independent Study,"1 - 3","Kyle Lampe","TBA","TBA","Chemical Engineering Research","",Open,1,5,0
12784,CHE,8993,001,Independent Study,"1 - 12","Matthew Neurock","TBA","TBA","Independent Study","",Closed,1,1,0
11670,CHE,8998,001,Independent Study,"1 - 12","Michael Shirts","TBA","TBA","Master's Research","",Open,0,30,0
11662,CHE,8998,002,Independent Study,"1 - 12","Giorgio Carta","TBA","TBA","Master's Research","",Open,5,30,0
11663,CHE,8998,003,Independent Study,"1 - 12","Robert Davis","TBA","TBA","Master's Research","",Open,1,30,0
11665,CHE,8998,005,Independent Study,"1 - 12","Roseanne Ford","TBA","TBA","Master's Research","",Open,0,30,0
11666,CHE,8998,006,Independent Study,"1 - 12","David Green","TBA","TBA","Master's Research","",Open,1,30,0
11669,CHE,8998,010,Independent Study,"1 - 12","Matthew Neurock","TBA","TBA","Master's Research","",Open,2,30,0
11799,CHE,8998,011,Independent Study,"1 - 12","Gary Koenig","TBA","TBA","Master's Research","",Open,1,30,0
12662,CHE,8998,012,Independent Study,"1 - 12","Kyle Lampe","TBA","TBA","Master's Research","",Open,0,30,0
11653,CHE,9999,001,Independent Study,"1 - 12","Giorgio Carta","TBA","TBA","Dissertation Research","",Open,2,30,0
11654,CHE,9999,002,Independent Study,"1 - 12","Robert Davis","TBA","TBA","Dissertation Research","",Open,7,30,0
11656,CHE,9999,004,Independent Study,"1 - 12","Roseanne Ford","TBA","TBA","Dissertation Research","",Open,2,30,0
11657,CHE,9999,005,Independent Study,"1 - 12","Inchan Kwon","TBA","TBA","Dissertation Research","",Open,3,30,0
11659,CHE,9999,007,Independent Study,"1 - 12","David Green","TBA","TBA","Dissertation Research","",Open,1,30,0
11660,CHE,9999,009,Independent Study,"1 - 12","Matthew Neurock","TBA","TBA","Dissertation Research","",Open,4,30,0
11661,CHE,9999,010,Independent Study,"1 - 12","Michael Shirts","TBA","TBA","Dissertation Research","",Open,4,30,0
11800,CHE,9999,011,Independent Study,"1 - 12","Gary Koenig","TBA","TBA","Dissertation Research","",Open,3,30,0
12663,CHE,9999,012,Independent Study,"1 - 12","Kyle Lampe","TBA","TBA","Dissertation Research","",Open,1,30,0
10055,CHEM,1410,001,Lecture,"3","Andrew Breen, William Mattson","MoTuWeThFr 8:00AM - 10:15AM","Chemistry Bldg 304","Introductory College Chemistry","",Open,64,85,0
10056,CHEM,1411,001,Lecture,"2","Hoitung Leung","TuTh 10:30AM - 11:30AM","Chemistry Bldg 304","Introductory College Chemistry Laboratory","",Open,54,80,0
10057,CHEM,1420,001,Lecture,"3","William Mattson","MoTuWeThFr 8:00AM - 10:15AM","Chemistry Bldg 304","Introductory College Chemistry","",Open,77,90,0
10058,CHEM,1421,001,Lecture,"2","Hoitung Leung","TuTh 10:30AM - 11:30AM","Chemistry Bldg 304","Introductory College Chemistry Laboratory","",Open,68,80,0
10059,CHEM,2410,001,Lecture,"3","Laura Serbulea","MoTuWeThFr 8:00AM - 10:15AM","Clark Hall 108","Organic Chemistry","",Open,66,120,0
10060,CHEM,2411,001,Laboratory,"3","Graeme Gerrans, Robert Burnett","Mo 10:30AM - 1:30PM","Chemistry Bldg 402","Organic Chemistry Laboratory","",Open,69,75,0
11045,CHEM,2411,002,Laboratory,"3","Graeme Gerrans, Robert Burnett","Mo 10:30AM - 1:30PM","Chemistry Bldg 402","Organic Chemistry Laboratory","",Open,46,60,0
10061,CHEM,2420,001,Lecture,"3","Laura Serbulea","MoTuWeThFr 8:00AM - 10:15AM","Clark Hall 108","Organic Chemistry II","",Open,36,120,0
10062,CHEM,2421,001,Lecture,"3","Graeme Gerrans, Robert Burnett","Mo 10:30AM - 1:30PM","Chemistry Bldg 402","Organic Chemistry Laboratory","",Open,74,95,0
11046,CHEM,2421,002,Lecture,"3","Graeme Gerrans, Robert Burnett","Mo 10:30AM - 1:30PM","Chemistry Bldg 402","Organic Chemistry Laboratory","",Open,43,112,0
10063,CHEM,3410,001,Lecture,"3","David Metcalf","MoTuWeThFr 8:00AM - 10:15AM","Chemistry Bldg 303","Physical Chemistry I","",Open,35,40,0
10064,CHEM,3420,001,Lecture,"3","Carl Trindle","MoTuWeThFr 8:00AM - 10:15AM","Chemistry Bldg 260","Physical Chemistry II","",Open,26,35,0
12779,CHEM,5310,001,Lecture,"3","Thomas Gunnoe","TBA","TBA","Advanced Inorganic Chemistry I","",Closed,1,1,0
10324,CHEM,9998,001,Independent Study,"1 - 12","Robert Burnett","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,30,0
11044,CHEM,9999,001,Independent Study,"1 - 12","A Harrison","TBA","TBA","Non-Topical Research","",Open,0,30,0
11053,CHEM,9999,002,Independent Study,"1 - 12","Timothy Macdonald","TBA","TBA","Non-Topical Research","",Open,0,30,0
10962,CHEM,9999,003,Independent Study,"1 - 12","Barbara Venton","TBA","TBA","Non-Topical Research","",Open,1,30,0
10963,CHEM,9999,004,Independent Study,"1 - 12","Donald Hunt","TBA","TBA","Non-Topical Research","",Open,0,30,0
10964,CHEM,9999,005,Independent Study,"1 - 12","John Yates","TBA","TBA","Non-Topical Research","",Open,0,30,0
10965,CHEM,9999,006,Independent Study,"1 - 12","James Landers","TBA","TBA","Non-Topical Research","",Open,0,30,0
10966,CHEM,9999,007,Independent Study,"1 - 12","Brooks Pate","TBA","TBA","Non-Topical Research","",Open,0,30,0
10967,CHEM,9999,008,Independent Study,"1 - 12","Thomas Gunnoe","TBA","TBA","Non-Topical Research","",Open,0,30,0
11047,CHEM,9999,009,Independent Study,"1 - 12","Walter Harman","TBA","TBA","Non-Topical Research","",Open,0,30,0
11050,CHEM,9999,010,Independent Study,"1 - 12","James Demas","TBA","TBA","Non-Topical Research","",Open,0,30,0
11078,CHEM,9999,011,Independent Study,"1 - 12","Lin Pu","TBA","TBA","Non-Topical Research","",Open,0,30,0
10144,CHIN,1016,001,Lecture,"4","Caren Freeman, Shu-Chen Chen","MoTuWeThFr 9:00AM - 4:00PM","Pavilion VIII 103","Intensive Introductory Chinese","",Open,8,15,0
10145,CHIN,1026,001,Lecture,"4","Caren Freeman, Shu-Chen Chen","MoTuWeThFr 9:00AM - 4:00PM","Pavilion VIII 103","Intensive Introductory Chinese","",Open,8,15,0
10274,CHIN,116,001,Lecture,"0","Caren Freeman, Shu-Chen Chen","MoTuWeThFr 9:00AM - 4:00PM","Pavilion VIII 103","Intensive Introductory Chinese","",Open,0,30,0
10275,CHIN,126,001,Lecture,"0","Caren Freeman, Shu-Chen Chen","MoTuWeThFr 9:00AM - 4:00PM","Pavilion VIII 103","Intensive Introductory Chinese","",Open,0,30,0
10146,CHIN,2016,001,Lecture,"4","Caren Freeman, Shu-Chen Chen","MoTuWeThFr 9:00AM - 4:00PM","Pavilion VIII 108","Intensive Intermediate Chinese","",Open,8,15,0
