ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
11679,AAS,3457,001,Seminar,"3","Herbert Lovelace","MoTuWeThFr 10:30AM - 12:45PM","Nau 142","Issues in Civil Rights Law","",Open,13,20,0
11678,AAS,3500,001,Seminar,"3","Jonathan Fenderson","MoTuWeThFr 1:00PM - 3:15PM","Cocke Hall 101","Intermediate Seminar in African-American & African Studies","Af-American Art and Politics",Open,6,20,0
12793,AAS,4993,1,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,1,30,0
11799,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 10:00PM","Northern Virginia Center","Introductory Accounting II","",Open,8,24,0
11802,ACCT,3140,701,Lecture,"3","William Cardine","MoTh 6:30PM - 10:00PM","Northern Virginia Center","Cost Accounting","",Open,6,24,0
11915,ACCT,5210,501,Lecture,"3","Ralph Traylor","We 6:00PM - 9:00PM","Zehmer Hall Conference Center","Introductory Auditing","",Open,7,20,0
11805,ACCT,5210,701,Lecture,"3","Karen Young","MoTh 6:30PM - 10:00PM","Northern Virginia Center","Introductory Auditing","",Open,14,24,0
11806,ACCT,5460,701,Lecture,"3","Gary Dittmer","Tu 1:07AM - 1:07AM","Web-Based Course-no class mtgs","Federal Taxation II","",Open,18,24,0
10046,ALAR,5010,001,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 305","Introduction to Design","",Open,20,30,0
10047,ALAR,5020,001,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 405","Introduction to Design Graphics","",Open,20,30,0
10048,ALAR,5030,001,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 139","Introduction to Design Theory and Analysis","",Open,20,30,0
12011,ALAR,5500,001,Independent Study,"3","Karolin Irmgard Elisabeth Moellmann, William Sherman","TBA","TBA","Special Topic in Architecture and Landscape Architecture","Living Barns:Regen Des.@Morven",Open,7,12,0
12252,ANTH,2325,001,Lecture,"3","George Mentore","MoTuWeThFr 1:00PM - 3:15PM","Gibson  142","Anthropology of God","",Closed,19,14,0
12253,ANTH,2345,001,Seminar,"3","Holly Singh","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall G054","Anthropology of Reproduction: Fertility and the Future","",Open,4,20,0
10054,ANTH,2557,001,Lecture,"3","Felistas Osotsi","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 328","Culture Through Film","",Open,13,20,0
12232,ANTH,2590,001,Lecture,"3","Andrew Nelson, Melissa Nelson","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 206","Social and Cultural Anthropology","American Culture/The Sitcom",Open,18,20,0
12233,ANTH,2590,002,Lecture,"3","Erik Stanley, Rachel Miller","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 235","Social and Cultural Anthropology","Economy& Environ. Degradation",Open,15,20,0
12234,ANTH,2590,003,Lecture,"3","Viktoryia Kalesnikava","MoTuWeThFr 8:00AM - 10:15AM","Fayerweather Hall 215","Social and Cultural Anthropology","Anthropology of Well-being",Open,15,20,0
12250,ANTH,3240,001,Lecture,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","Nau 142","The Anthropology of Food","",Closed,21,20,0
10806,ANTH,4993,002,Independent Study,"1 - 6","Rachel Most","TBA","TBA","Independent Study in Anthropology","",Open,0,1,0
12666,ANTH,4993,3,Independent Study,"1 - 6","Clare Terni","TBA","TBA","Independent Study in Anthropology","",Open,1,30,0
10904,ANTH,4993,004,Independent Study,"1 - 6","Rachel Most","TBA","TBA","Independent Study in Anthropology","",Open,0,1,0
10885,ANTH,9999,001,Independent Study,"3 - 12","Richard Handler","TBA","TBA","Non-Topical Research","",Open,0,30,0
12882,ANTH,9999,002,Independent Study,"3 - 12","Susan McKinnon","TBA","TBA","Non-Topical Research","",Open,1,30,0
11120,APMA,1090,001,Lecture,"4","William Johnson","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 011","Single Variable Calculus I","",Open,15,35,0
11810,APMA,1110,001,Lecture,"4","Mary Beck","MoTuWeThFr 11:45AM - 12:45PM","Thornton Hall D221","Single Variable Calculus II","",Open,6,35,0
11121,APMA,2120,001,Lecture,"4","Mary Beck","MoTuWeThFr 10:30AM - 11:30AM","Web-Based Course","Multivariable Calculus","",Open,28,35,0
11122,APMA,2130,001,Lecture,"4","Bernard Fulgham","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 005","Ordinary Differential Equations","",Open,30,35,0
11123,APMA,3080,001,Lecture,"3","James Lark","MoTuWeThFr 1:00PM - 2:00PM","Olsson Hall 005","Linear Algebra","",Open,21,35,0
11124,APMA,3100,001,Lecture,"3","Thomas Baber","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 009","Probability","",Open,18,35,0
11125,APMA,3110,001,Lecture,"3","Norman Beil","MoTuWeThFr 11:45AM - 12:45PM","Olsson Hall 009","Applied Statistics and Probability","",Open,13,35,0
11126,APMA,3120,001,Lecture,"3","James Lark","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 009","Statistics","",Open,7,35,0
10259,ARAB,1016,001,Lecture,"4","Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 5:30PM","Nau 141","Intensive Introductory Arabic","",Open,11,20,0
10291,ARAB,1026,001,Lecture,"4","Ahmad Obiedat, Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 5:30PM","Nau 141","Intensive Introductory Arabic","",Open,11,20,0
10802,ARAB,116,001,Lecture,"0","Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 5:30PM","Nau 141","Intensive Introductory Arabic","",Open,5,20,0
10803,ARAB,126,001,Lecture,"0","Ahmad Obiedat, Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 5:30PM","Nau 141","Intensive Introductory Arabic","",Open,5,20,0
10368,ARAB,2016,001,Lecture,"4","Ahmad Obiedat, Caren Freeman","MoTuWeThFr 9:00AM - 2:30PM","Nau 241","Intensive Intermediate Arabic","",Open,5,10,0
10290,ARAB,2026,001,Lecture,"4","Ahmad Obiedat, Caren Freeman","MoTuWeThFr 9:00AM - 2:30PM","Nau 241","Intensive Intermediate Arabic","",Open,5,10,0
10804,ARAB,216,001,Lecture,"0","Ahmad Obiedat, Caren Freeman","MoTuWeThFr 9:00AM - 2:30PM","Nau 241","Intensive Intermediate Arabic","",Open,0,10,0
10805,ARAB,226,001,Lecture,"0","Ahmad Obiedat, Caren Freeman","MoTuWeThFr 9:00AM - 2:30PM","Nau 241","Intensive Intermediate Arabic","",Open,0,10,0
12557,ARAH,9998,001,Independent Study,"1 - 12","Douglas Fordham","TBA","TBA","Non-Topical Rsch,Doctoral Prep","",Open,2,30,0
12012,ARCH,2011,001,Studio,"6","Zaneta Hong","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","Summer Intro to Design Studio","",Open,14,20,0
12013,ARCH,2021,001,Studio,"6","Peter Waldman","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","Summer Intro to Design Studio 1","",Open,14,20,0
10051,ARCH,2040,001,Lecture,"3","Edward Ford","MoTuWeThFr 2:00PM - 6:00PM","TBA","Introduction to Architectural Design","",Open,5,30,0
11813,ARCH,5422,001,Workshop,"3","Earl Mark","MoTuWeThFr 9:30AM - 11:45AM","Campbell Hall 105","Computer Animation: Design in Motion","",Open,11,24,0
11814,ARCH,5500,001,Lecture,"3","John Quale, Peter Waldman","TuTh 8:00AM - 12:45PM","TBA","Special Topics in Architecture","Carr's Hill Workshop",Open,9,12,0
10053,ARCH,5993,001,Independent Study,"1 - 6","Eric Field","TBA","TBA","Independent Study","",Open,0,1,0
10045,ARH,1004,001,Lecture,"3","Lisa Reilly","MoTuWeThFr 10:30AM - 12:45PM","Campbell Hall 160","History of Architecture","",Open,7,30,0
12236,ARTH,1004,001,Lecture,"3","Lisa Reilly","MoTuWeThFr 10:30AM - 12:45PM","Campbell Hall 160","A History of Architecture","",Open,1,30,0
11677,ARTH,2773,001,Lecture,"3","Carmenita Higginbotham","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 208","Hollywood Cinema's Golden Age: The 1930s","",Closed,15,15,0
10104,ARTS,1610,001,Studio,"3","Akemi Rollando","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 203","Introduction to Drawing I","",Open,22,25,0
12020,ARTS,1610,002,Studio,"3","Megan Marlatt","MoTuWeThFr 8:00AM - 5:00PM","Mtn Lake Biological Station","Introduction to Drawing I","",Open,5,12,0
