ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10305,AAS,1010,100,Lecture,"4","James La Fleur","TuTh 12:30PM - 1:45PM","Minor Hall 125","Introduction to African-American and African Studies I","",Closed,125,120,0
10308,AAS,1010,101,Discussion,"4","Kimberly Love","Th 6:00PM - 6:50PM","Shannon House 108","Introduction to African-American and African Studies I","",Closed,22,20,0
10309,AAS,1010,102,Discussion,"4","Gillet Rosenblith","We 5:00PM - 5:50PM","Shannon House 107","Introduction to African-American and African Studies I","",Closed,23,20,0
10306,AAS,1010,103,Discussion,"4","Kimberly Love","Th 7:00PM - 7:50PM","Shannon House 108","Introduction to African-American and African Studies I","",Closed,20,20,0
10307,AAS,1010,104,Discussion,"4","Kimberly Love","Th 8:00PM - 8:50PM","Shannon House 108","Introduction to African-American and African Studies I","",Closed,20,20,0
10310,AAS,1010,105,Discussion,"4","Gillet Rosenblith","We 6:00PM - 6:50PM","Shannon House 107","Introduction to African-American and African Studies I","",Closed,20,20,0
10311,AAS,1010,106,Discussion,"4","Gillet Rosenblith","We 7:00PM - 7:50PM","Shannon House 107","Introduction to African-American and African Studies I","",Closed,20,20,0
15551,AAS,2700,001,Lecture,"3","Jalane Schmidt","TuTh 9:30AM - 10:45AM","Gibson Hall 211","Festivals of the Americas","",Open,42,50,1
20619,AAS,3000,001,Seminar,"3","Cynthia Hoehler-Fatton","TuTh 12:30PM - 1:45PM","Gibson Hall 341","Women and Religion in Africa","",Closed,34,30,1
16528,AAS,3200,001,Seminar,"3","Mark Hadley","TuTh 9:30AM - 10:45AM","Gibson Hall 341","Martin, Malcolm and America","",Open,19,20,1
20072,AAS,3280,001,Lecture,"3","Kenrick Grandison","TuTh 3:30PM - 4:45PM","Bryan Hall 328","Reading the Black College Campus","",Closed,7,21,0
12046,AAS,3500,001,Seminar,"3","Marlon Ross","TuTh 11:00AM - 12:15PM","Maury Hall 110","Intermediate Seminar in African-American & African Studies","Black Protest Narrative",Open,25,35,0
14365,AAS,3500,002,Seminar,"3","Sabrina Pendergrass","TuTh 12:30PM - 1:45PM","Nau Hall 287","Intermediate Seminar in African-American & African Studies","SS PerspAf-Amer&AfricanStudies",Open,6,20,0
16722,AAS,3500,003,Seminar,"3","Deborah McDowell","TuTh 2:00PM - 3:15PM","Bryan Hall 328","Intermediate Seminar in African-American & African Studies","Framing Civil Rights Movement",Open,15,30,0
20709,AAS,3500,004,Seminar,"3","Lisa Shutt","Mo 3:30PM - 6:00PM","Physics Bldg 218","Intermediate Seminar in African-American & African Studies","African Worlds - Life Stories",Closed,26,25,0
21011,AAS,3500,005,Seminar,"3","Lynn French","TuTh 3:30PM - 4:45PM","Nau Hall 211","Intermediate Seminar in African-American & African Studies","History Civil Rights Movement",Open,32,60,0
19871,AAS,3652,001,Seminar,"3","Claudrena Harold","TuTh 12:30PM - 1:45PM","Claude Moore Nursing Educ G120","African American History since 1865","",Closed,66,60,0
20702,AAS,3749,001,Seminar,"3","Lisa Shutt","Tu 3:30PM - 6:00PM","Pavilion VIII 103","Food and Meaning in Africa and the Diaspora","",Closed,19,18,1
14427,AAS,4070,001,Lecture,"3","Claudrena Harold","TBA","TBA","Directed Reading and Research","",Open,1,10,0
16723,AAS,4500,001,Seminar,"3","Kenrick Grandison, Marlon Ross","Tu 6:30PM - 9:00PM","Cocke Hall 101","Advanced Seminar in African-American and African Studies","Race, Space, Culture",Closed,12,18,0
12045,AAS,4570,001,Seminar,"3","Zakiyyah Jackson","We 3:30PM - 6:00PM","New Cabell Hall 042","Advanced Research Seminar in African-American & African Studies","Womanhood&Politics of the Body",Open,4,10,0
16932,AAS,4993,001,Independent Study,"3","Claudrena Harold","TBA","TBA","Independent Study","",Open,1,5,0
14112,AAS,4993,002,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,3,5,0
21228,ACCT,2010,701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Open,10,24,0
21229,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:30PM","Northern Virginia Center","Introductory Accounting II","",Open,5,24,0
21237,ACCT,3110,501,Lecture,"3","Rebecca Adams","Th 6:15PM - 9:15PM","Zehmer Hall Conference Center","Intermediate Accounting I","",Open,4,24,0
21230,ACCT,3110,701,Lecture,"3","Leon Hutton","Th 6:30PM - 9:45PM","Northern Virginia Center","Intermediate Accounting I","",Open,8,24,0
21231,ACCT,3120,701,Lecture,"3","Nammy Lee","Th 6:30PM - 9:45PM","Northern Virginia Center","Intermediate Accounting II","",Open,14,24,0
21232,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:30PM","Web-Based Course-No class mtgs","Cost Accounting","",Open,11,24,0
21378,ACCT,4450,701,Lecture,"3","Paul Krinzman","Mo 6:30PM - 9:30PM","Northern Virginia Center","Federal Taxation I","",Open,7,24,0
21233,ACCT,5210,701,Lecture,"3","Richard Evans","We 6:30PM - 9:45PM","Northern Virginia Center","Introductory Auditing","",Open,12,24,0
21234,ACCT,5330,701,Lecture,"3","Richard Evans","Th 6:30PM - 9:45PM","Northern Virginia Center","Accounting for Non-Business Organizations","",Open,23,24,0
21235,ACCT,5410,701,Lecture,"3","Cory Kirchert","Sa 9:00AM - 12:30PM","Northern Virginia Center","Fraud Examination","",Closed,25,24,0
21236,ACCT,5460,701,Lecture,"3","Gary Dittmer","Tu 1:00AM - 1:01AM","Web-Based Course-No class mtgs","Federal Taxation II","",Open,7,24,0
19212,AIRS,100,001,Laboratory,"0","Jennifer Hubal","Tu 3:30PM - 5:30PM","Physics Bldg 203","Leadership Laboratory","",Open,62,219,0
20052,AIRS,100,002,Laboratory,"0","Jennifer Hubal","Sa 11:00AM - 1:00PM","Cauthen House 134","Leadership Laboratory","",Open,1,30,0
19206,AIRS,1100,001,Lecture,"1","Michael Kamorski","Tu 1:00PM - 1:50PM","Gilmer Hall 130","The Foundations of the U.S. Air Force","",Open,17,50,0
19207,AIRS,1100,002,Lecture,"1","Michael Kamorski","Th 2:00PM - 2:50PM","Cauthen House 116","The Foundations of the U.S. Air Force","",Closed,15,15,0
19208,AIRS,2100,001,Lecture,"1","Michael Kamorski","Tu 2:00PM - 2:50PM","Maury Hall 209","The Evolution of Air and Space Power","",Open,22,50,0
19209,AIRS,2100,002,Lecture,"1","Michael Kamorski","Th 3:00PM - 3:50PM","Cauthen House 112","The Evolution of Air and Space Power","",Open,5,15,0
20053,AIRS,3100,001,Lecture,"3","Jennifer Hubal","Sa 8:00AM - 10:30AM","Astronomy Bldg 265","Concepts of Air Force Leadership and Management","",Open,1,25,0
21758,AIRS,3100,002,Lecture,"3","Jennifer Hubal","Tu 12:30PM - 1:45PM","Cauthen House 134","Concepts of Air Force Leadership and Management","",Open,0,18,0
21759,AIRS,3100,003,Lecture,"3","Jennifer Hubal","Mo 12:55PM - 3:25PM","TBA","Concepts of Air Force Leadership and Management","",Open,7,10,0
19211,AIRS,4100,001,Lecture,"3","Steven Hiss","Tu 12:30PM - 1:45PM","Astronomy Bldg 139","National Security Affairs/Preparation for Active Duty","",Open,5,20,0
20054,AIRS,4100,002,Lecture,"3","Steven Hiss","Sa 8:00AM - 10:30AM","Cauthen House 134","National Security Affairs/Preparation for Active Duty","",Open,8,30,0
10217,ALAR,7010,001,Studio,"6","W Clark","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Research Studio 1","",Open,5,15,0
10253,ALAR,7010,002,Studio,"6","Robin Dripps","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Research Studio 1","",Open,9,10,0
10254,ALAR,7010,003,Studio,"6","Margarita Jover Biboum","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Research Studio 1","",Open,1,15,0
10255,ALAR,7010,004,Studio,"6","Leena Cho, Teresa Gali Izard","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Research Studio 1","",Open,6,15,0
10256,ALAR,7010,005,Studio,"6","Edward Ford","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Research Studio 1","",Open,10,15,0
10218,ALAR,8010,001,Studio,"6","W Clark","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Comprehensive Design Research Studio 1","",Open,9,10,0
10259,ALAR,8010,002,Studio,"6","Robin Dripps","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Comprehensive Design Research Studio 1","",Open,1,10,0
10260,ALAR,8010,003,Studio,"6","Edward Ford","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Comprehensive Design Research Studio 1","",Open,3,10,0
10261,ALAR,8010,004,Studio,"6","Margarita Jover Biboum","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Comprehensive Design Research Studio 1","",Open,13,15,0
10262,ALAR,8010,005,Studio,"6","Julie Bargmann","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Comprehensive Design Research Studio 1","",Open,12,15,0
