ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10728,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Minor Hall 125","Introduction to African-American and African Studies II","",Open,74,118,2
10733,AAS,1020,101,Discussion,"4","Alec Hickmott","Th 6:00PM - 6:50PM","New Cabell Hall 111","Introduction to African-American and African Studies II","",Open,4,18,0
10732,AAS,1020,102,Discussion,"4","Alec Hickmott","Th 4:00PM - 4:50PM","New Cabell Hall 191","Introduction to African-American and African Studies II","",Wait List,20,20,1
10731,AAS,1020,103,Discussion,"4","Lindsey Jones","We 5:00PM - 5:50PM","New Cabell Hall 411","Introduction to African-American and African Studies II","",Wait List,20,20,1
10730,AAS,1020,104,Discussion,"4","Lindsey Jones","We 7:00PM - 7:50PM","New Cabell Hall 411","Introduction to African-American and African Studies II","",Open,18,20,0
10734,AAS,1020,105,Discussion,"4","Alec Hickmott","Th 7:00PM - 7:50PM","New Cabell Hall 111","Introduction to African-American and African Studies II","",Open,7,20,0
10729,AAS,1020,106,Discussion,"4","Lindsey Jones","We 6:00PM - 6:50PM","New Cabell Hall 411","Introduction to African-American and African Studies II","",Open,5,20,0
16054,AAS,2224,001,Seminar,"3","Lisa Shutt","Tu 3:30PM - 6:00PM","New Cabell Hall 207","Black Femininities and Masculinities in the US Media","",Wait List,17,18,3
20953,AAS,2224,002,Seminar,"3","Lisa Shutt","Th 3:30PM - 6:00PM","New Cabell Hall 207","Black Femininities and Masculinities in the US Media","",Wait List,18,18,2
21353,AAS,3000,001,Seminar,"3","Cynthia Hoehler-Fatton","TuTh 12:30PM - 1:45PM","Gibson Hall 341","Women and Religion in Africa","",Closed,5,5,0
15317,AAS,3500,001,Seminar,"3","Njelle Hamilton","MoWe 3:30PM - 4:45PM","Maury Hall 113","Intermediate Seminar in African-American & African Studies","Currents in African Literature",Open,1,24,0
16180,AAS,3500,002,Seminar,"3","James La Fleur","TuTh 9:30AM - 10:45AM","New Cabell Hall 132","Intermediate Seminar in African-American & African Studies","Runaways&Rebels, Afro-Atlantic",Open,8,24,0
20263,AAS,3500,003,Seminar,"3","Maurice Wallace","TuTh 2:00PM - 3:15PM","Cocke Hall 115","Intermediate Seminar in African-American & African Studies","Slavery & Literary Imagination",Open,5,24,0
20264,AAS,3500,004,Seminar,"3","Pamela Reynolds","We 1:00PM - 3:30PM","New Cabell Hall 115","Intermediate Seminar in African-American & African Studies","Af-American Health Professnals",Open,6,18,0
20324,AAS,3749,001,Seminar,"3","Lisa Shutt","MoWe 2:00PM - 3:15PM","Brooks Hall 103","Food and Meaning in Africa and the Diaspora","",Closed,7,6,0
10735,AAS,4080,001,Independent Study,"3","Claudrena Harold","TBA","TBA","Thesis","",Open,1,10,0
