ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10001,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies II","",Open,101,118,0
10016,AAS,1020,101,Discussion,"4","Alec Hickmott","Th 6:00PM - 6:50PM","New Cabell Hall 318","Introduction to African-American and African Studies II","",Open,16,18,0
10013,AAS,1020,102,Discussion,"4","Alec Hickmott","Th 4:00PM - 4:50PM","New Cabell Hall B030","Introduction to African-American and African Studies II","",Closed,20,20,0
10010,AAS,1020,103,Discussion,"4","Mary Hicks","We 5:00PM - 5:50PM","Maury Hall 113","Introduction to African-American and African Studies II","",Closed,22,20,0
10007,AAS,1020,104,Discussion,"4","Mary Hicks","We 2:00PM - 2:50PM","New Cabell Hall 340","Introduction to African-American and African Studies II","",Closed,20,20,0
10019,AAS,1020,105,Discussion,"4","Alec Hickmott","Th 7:00PM - 7:50PM","New Cabell Hall 130","Introduction to African-American and African Studies II","",Open,8,20,0
10004,AAS,1020,106,Discussion,"4","Mary Hicks","We 3:00PM - 3:50PM","New Cabell Hall 331","Introduction to African-American and African Studies II","",Open,15,20,0
37558,AAS,3000,001,Seminar,"3","Cynthia Hoehler-Fatton","TuTh 12:30PM - 1:45PM","Gibson 341","Women and Religion in Africa","",Closed,11,8,0
15819,AAS,3500,001,Seminar,"3","Amy Nichols-Belo","MoWe 2:00PM - 3:15PM","Maury Hall 110","Intermediate Seminar in African-American & African Studies","Health and Healing in Africa",Closed,16,12,0
36459,AAS,3500,002,Seminar,"3","Clare Terni","MoWe 3:30PM - 4:45PM","Brooks Hall 103","Intermediate Seminar in African-American & African Studies","Developmnt & Culture in Africa",Closed,14,12,0
36460,AAS,3500,003,Seminar,"3","Roquinaldo Ferreira","TuTh 12:30PM - 1:45PM","Nau 141","Intermediate Seminar in African-American & African Studies","Afro-Brazilian History",Closed,4,5,0
10025,AAS,4080,001,Independent Study,"3","Cynthia Hoehler-Fatton","TBA","TBA","Thesis","",Open,2,10,0
36461,AAS,4500,001,Seminar,"3","Marlon Ross","Tu 6:30PM - 9:00PM","Bryan Hall 310","Advanced Seminar in African-American and African Studies","Critical Race Theory",Open,3,6,0
36462,AAS,4500,002,Seminar,"3","Kenrick Grandison","Th 6:30PM - 9:00PM","Bryan Hall 310","Advanced Seminar in African-American and African Studies","Racial Geographies",Open,0,9,0
36463,AAS,4501,001,Seminar,"4","Roquinaldo Ferreira","Th 3:30PM - 6:00PM","Monroe Hall 113","Advanced Research Seminar in History & AAS","Slavery in the Atlantic World",Open,2,3,0
37624,AAS,4501,002,Seminar,"4","Claudrena Harold","Tu 3:30PM - 6:00PM","Monroe Hall 114","Advanced Research Seminar in History & AAS","Black Power",Closed,13,4,0
15822,AAS,4570,001,Seminar,"3","Alisha Gaines","Tu 3:30PM - 6:00PM","New Cabell Hall 319","Advanced Research Seminar in African-American & African Studies","Passing in Af-Am Imagination",Open,8,18,0
21641,AAS,4845,001,Lecture,"3","Lisa Woolfork","TuTh 9:30AM - 10:45AM","New Cabell Hall 335","Black Speculative Fiction","",Open,3,9,0
10022,AAS,4993,001,Independent Study,"3","Cynthia Hoehler-Fatton","TBA","TBA","Independent Study","",Open,2,10,0
25621,AAS,4993,002,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,5,30,0
27776,AAS,4993,003,Independent Study,"3","Kenrick Grandison","TBA","TBA","Independent Study","",Open,0,30,0
37895,AAS,4993,004,Independent Study,"3","Claudrena Harold","TBA","TBA","Independent Study","",Open,1,30,0
36941,ACCT,2010,701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Open,16,18,0
36942,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:45PM","Northern Virginia Center","Introductory Accounting II","",Closed,9,9,0
36943,ACCT,3110,701,Lecture,"3","Leon Hutton","Th 6:30PM - 9:30PM","Northern Virginia Center","Intermediate Accounting I","",Closed,7,7,0
37329,ACCT,3120,501,Lecture,"3","Rebecca Adams","Mo 6:15PM - 9:15PM","Zehmer Hall Conference Center","Intermediate Accounting II","",Open,7,20,0
36945,ACCT,3120,701,Lecture,"3","Cory Kirchert","Sa 9:00AM - 12:30PM","Northern Virginia Center","Intermediate Accounting II","",Closed,15,15,0
36947,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:30PM","Northern Virginia Center","Cost Accounting","",Closed,9,9,0
36950,ACCT,4450,701,Lecture,"3","Gary Dittmer","Mo 1:00AM - 1:00AM","Web-Based Course-no class mtgs","Federal Taxation I","",Open,22,24,0
36952,ACCT,5210,701,Lecture,"3","Karen Young","Tu 6:30PM - 9:30PM","Northern Virginia Center","Introductory Auditing","",Closed,10,10,0
36953,ACCT,5250,701,Lecture,"3","Karen Young","We 6:30PM - 9:30PM","Northern Virginia Center","Advanced Auditing","",Closed,12,11,0
36955,ACCT,5310,701,Lecture,"3","Paula Bohnwagner","Mo 6:30PM - 9:30PM","Northern Virginia Center","Selected Topics in Advanced Accounting","",Open,16,17,0
36958,ACCT,5330,701,Lecture,"3","Richard Evans","Th 6:30PM - 9:30PM","Northern Virginia Center","Accounting for Non-Business Organizations","",Closed,10,10,0
36959,ACCT,5460,701,Lecture,"3","Thomas Hughes","Fr 6:30PM - 9:30PM","Northern Virginia Center","Federal Taxation II","",Closed,9,9,0
31952,AIRS,100,001,Laboratory,"0","Staff","Tu 3:30PM - 5:30PM","Physics Bldg 203","Leadership Laboratory","",Closed,30,30,0
31934,AIRS,1200,002,Lecture,"1","James Fulks","Tu 1:00PM - 1:50PM","Ruffner Hall 187","The Foundations of the U.S. Air Force","",Open,3,80,0
31937,AIRS,1200,003,Lecture,"1","James Fulks","Th 2:00PM - 2:50PM","TBA","The Foundations of the U.S. Air Force","",Open,19,30,0
31940,AIRS,2200,1,Lecture,"1","James Fulks","Tu 2:00PM - 2:50PM","Ruffner Hall 187","The Evolution of Air and Space Power","",Open,6,40,0
31943,AIRS,2200,2,Lecture,"1","James Fulks","Th 3:00PM - 3:50PM","TBA","The Evolution of Air and Space Power","",Open,7,30,0
31946,AIRS,3200,1,Lecture,"3","Jared Hoover","TuTh 12:00PM - 3:30PM","Cauthen House 134","Concepts of Air Force Leadership and Management","",Open,14,25,0
31949,AIRS,4200,1,Lecture,"3","Jon Wolfe","TuTh 12:15PM - 1:15PM","Contact Department","National Security Affairs/Preparation for Active Duty","",Open,14,30,0
